"ch_version","name","value","changed","description","min","max","readonly","type","default","alias_for"
"23.3.4.17","force_primary_key","0",0,"Throw an exception if there is primary key in a table, and it is not used.",\N,\N,0,"Bool","0",""
"23.3.4.17","use_skip_indexes","1",0,"Use data skipping indexes during query execution.",\N,\N,0,"Bool","1",""
"23.3.4.17","use_skip_indexes_if_final","0",0,"If query has FINAL, then skipping data based on indexes may produce incorrect result, hence disabled by default.",\N,\N,0,"Bool","0",""
"23.3.4.17","force_data_skipping_indices","",0,"Comma separated list of strings or literals with the name of the data skipping indices that should be used during query execution, otherwise an exception will be thrown.",\N,\N,0,"String","",""
"23.3.4.17","max_streams_to_max_threads_ratio","1",0,"Allows you to use more sources than the number of threads - to more evenly distribute work across threads. It is assumed that this is a temporary solution, since it will be possible in the future to make the number of sources equal to the number of threads, but for each source to dynamically select available work for itself.",\N,\N,0,"Float","1",""
"23.3.4.17","max_streams_multiplier_for_merge_tables","5",0,"Ask more streams when reading from Merge table. Streams will be spread across tables that Merge table will use. This allows more even distribution of work across threads and especially helpful when merged tables differ in size.",\N,\N,0,"Float","5",""
"23.3.4.17","network_compression_method","LZ4",0,"Allows you to select the method of data compression when writing.",\N,\N,0,"String","LZ4",""
"23.3.4.17","network_zstd_compression_level","1",0,"Allows you to select the level of ZSTD compression.",\N,\N,0,"Int64","1",""
"23.3.4.17","zstd_window_log_max","0",0,"Allows you to select the max window log of ZSTD (it will not be used for MergeTree family)",\N,\N,0,"Int64","0",""
"23.3.4.17","priority","0",0,"Priority of the query. 1 - the highest, higher value - lower priority; 0 - do not use priorities.",\N,\N,0,"UInt64","0",""
"23.3.4.17","os_thread_priority","0",0,"If non zero - set corresponding 'nice' value for query processing threads. Can be used to adjust query priority for OS scheduler.",\N,\N,0,"Int64","0",""
"23.3.4.17","log_queries","1",0,"Log requests and write the log to the system table.",\N,\N,0,"Bool","1",""
"23.3.4.17","log_formatted_queries","0",0,"Log formatted queries and write the log to the system table.",\N,\N,0,"Bool","0",""
"23.3.4.17","log_queries_min_type","QUERY_START",0,"Minimal type in query_log to log, possible values (from low to high): QUERY_START, QUERY_FINISH, EXCEPTION_BEFORE_START, EXCEPTION_WHILE_PROCESSING.",\N,\N,0,"LogQueriesType","QUERY_START",""
"23.3.4.17","log_queries_min_query_duration_ms","0",0,"Minimal time for the query to run, to get to the query_log/query_thread_log/query_views_log.",\N,\N,0,"Milliseconds","0",""
"23.3.4.17","log_queries_cut_to_length","100000",0,"If query length is greater than specified threshold (in bytes), then cut query when writing to query log. Also limit length of printed query in ordinary text log.",\N,\N,0,"UInt64","100000",""
"23.3.4.17","log_queries_probability","1",0,"Log queries with the specified probabality.",\N,\N,0,"Float","1",""
"23.3.4.17","log_processors_profiles","0",0,"Log Processors profile events.",\N,\N,0,"Bool","0",""
"23.3.4.17","distributed_product_mode","deny",0,"How are distributed subqueries performed inside IN or JOIN sections?",\N,\N,0,"DistributedProductMode","deny",""
"23.3.4.17","max_concurrent_queries_for_all_users","0",0,"The maximum number of concurrent requests for all users.",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_concurrent_queries_for_user","0",0,"The maximum number of concurrent requests per user.",\N,\N,0,"UInt64","0",""
"23.3.4.17","insert_deduplicate","1",0,"For INSERT queries in the replicated table, specifies that deduplication of insertings blocks should be performed",\N,\N,0,"Bool","1",""
"23.3.4.17","async_insert_deduplicate","0",0,"For async INSERT queries in the replicated table, specifies that deduplication of insertings blocks should be performed",\N,\N,0,"Bool","0",""
"23.3.4.17","insert_quorum","0",0,"For INSERT queries in the replicated table, wait writing for the specified number of replicas and linearize the addition of the data. 0 - disabled, 'auto' - use majority",\N,\N,0,"UInt64Auto","0",""
"23.3.4.17","insert_quorum_timeout","600000",0,"If the quorum of replicas did not meet in specified time (in milliseconds), exception will be thrown and insertion is aborted.",\N,\N,0,"Milliseconds","600000",""
"23.3.4.17","insert_quorum_parallel","1",0,"For quorum INSERT queries - enable to make parallel inserts without linearizability",\N,\N,0,"Bool","1",""
"23.3.4.17","select_sequential_consistency","0",0,"For SELECT queries from the replicated table, throw an exception if the replica does not have a chunk written with the quorum; do not read the parts that have not yet been written with the quorum.",\N,\N,0,"UInt64","0",""
"23.3.4.17","table_function_remote_max_addresses","1000",0,"The maximum number of different shards and the maximum number of replicas of one shard in the `remote` function.",\N,\N,0,"UInt64","1000",""
