"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete","tier"
"25.1.4.53","old_parts_lifetime","480",0,"How many seconds to keep obsolete parts.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","temporary_directories_lifetime","86400",0,"How many seconds to keep tmp_-directories. You should not lower this value because merges and mutations may not be able to work with low value of this setting.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","lock_acquire_timeout_for_background_operations","120",0,"For background operations like merges, mutations etc. How many seconds before failing to acquire table locks.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","min_rows_to_fsync_after_merge","0",0,"Minimal number of rows to do fsync for part after merge (0 - disabled)",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_compressed_bytes_to_fsync_after_merge","0",0,"Minimal number of compressed bytes to do fsync for part after merge (0 - disabled)",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_compressed_bytes_to_fsync_after_fetch","0",0,"Minimal number of compressed bytes to do fsync for part after fetch (0 - disabled)",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","fsync_after_insert","0",0,"Do fsync for every inserted part. Significantly decreases performance of inserts, not recommended to use with wide parts.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","fsync_part_directory","0",0,"Do fsync for part directory after all part operations (writes, renames, etc.).",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","non_replicated_deduplication_window","0",0,"How many last blocks of hashes should be kept on disk (0 - disabled).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_parts_to_merge_at_once","100",0,"Max amount of parts which can be merged at once (0 - disabled). Doesn't affect OPTIMIZE FINAL query.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","materialize_skip_indexes_on_merge","1",0,"If merges create and store skip indexes, otherwise they can be created/stored by explicit MATERIALIZE INDEX",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","merge_selecting_sleep_ms","5000",0,"Minimum time to wait before trying to select parts to merge again after no parts were selected. A lower setting will trigger selecting tasks in background_schedule_pool frequently which result in large amount of requests to zookeeper in large-scale clusters",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_merge_selecting_sleep_ms","60000",0,"Maximum time to wait before trying to select parts to merge again after no parts were selected. A lower setting will trigger selecting tasks in background_schedule_pool frequently which result in large amount of requests to zookeeper in large-scale clusters",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_selecting_sleep_slowdown_factor","1.2",0,"The sleep time for merge selecting task is multiplied by this factor when there's nothing to merge and divided when a merge was assigned",\N,\N,0,"Float",0,"Production"
"25.1.4.53","merge_tree_clear_old_temporary_directories_interval_seconds","60",0,"The period of executing the clear old temporary directories operation in background.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_tree_clear_old_parts_interval_seconds","1",0,"The period of executing the clear old parts operation in background.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_age_to_force_merge_seconds","0",0,"If all parts in a certain range are older than this value, range will be always eligible for merging. Set to 0 to disable.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_age_to_force_merge_on_partition_only","0",0,"Whether min_age_to_force_merge_seconds should be applied only on the entire partition and not on subset.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","enable_max_bytes_limit_for_min_age_to_force_merge","0",0,"Whether merges picked based on min_age_to_force_merge_seconds and min_age_to_force_merge_on_partition_only, should be limited by max_bytes_to_merge_at_max_space_in_pool",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","number_of_free_entries_in_pool_to_execute_optimize_entire_partition","25",0,"When there is less than specified number of free entries in pool, do not try to execute optimize entire partition with a merge (this merge is created when set min_age_to_force_merge_seconds > 0 and min_age_to_force_merge_on_partition_only = true). This is to leave free threads for regular merges and avoid ""Too many parts""",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","remove_rolled_back_parts_immediately","1",0,"Setting for an incomplete experimental feature.",\N,\N,0,"Bool",0,"Experimental"
"25.1.4.53","replicated_max_mutations_in_one_entry","10000",0,"Max number of mutation commands that can be merged together and executed in one MUTATE_PART entry (0 means unlimited)",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","number_of_mutations_to_delay","500",0,"If table has at least that many unfinished mutations, artificially slow down mutations of table. Disabled if set to 0",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","number_of_mutations_to_throw","1000",0,"If table has at least that many unfinished mutations, throw 'Too many mutations' exception. Disabled if set to 0",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_delay_to_mutate_ms","10",0,"Min delay of mutating MergeTree table in milliseconds, if there are a lot of unfinished mutations",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_delay_to_mutate_ms","1000",0,"Max delay of mutating MergeTree table in milliseconds, if there are a lot of unfinished mutations",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","exclude_deleted_rows_for_part_size_in_merge","0",0,"Use an estimated source part size (excluding lightweight deleted rows) when selecting parts to merge",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","merge_workload","",0,"Name of workload to be used to access resources for merges",\N,\N,0,"String",0,"Production"
"25.1.4.53","mutation_workload","",0,"Name of workload to be used to access resources for mutations",\N,\N,0,"String",0,"Production"
"25.1.4.53","background_task_preferred_step_execution_time_ms","50",0,"Target time to execution of one step of merge or mutation. Can be exceeded if one step takes longer time",\N,\N,0,"Milliseconds",0,"Production"
"25.1.4.53","enforce_index_structure_match_on_partition_manipulation","0",0,"If this setting is enabled for destination table of a partition manipulation query (`ATTACH/MOVE/REPLACE PARTITION`), the indices and projections must be identical between the source and destination tables. Otherwise, the destination table can have a superset of the source table's indices and projections.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","merge_selector_algorithm","Simple",0,"The algorithm to select parts for merges assignment",\N,\N,0,"MergeSelectorAlgorithm",0,"Experimental"
"25.1.4.53","merge_selector_enable_heuristic_to_remove_small_parts_at_right","1",0,"Enable heuristic for selecting parts for merge which removes parts from right side of range, if their size is less than specified ratio (0.01) of sum_size. Works for Simple and StochasticSimple merge selectors",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","merge_selector_base","5",0,"Affects write amplification of assigned merges (expert level setting, don't change if you don't understand what it is doing). Works for Simple and StochasticSimple merge selectors",\N,\N,0,"Float",0,"Production"
"25.1.4.53","min_parts_to_merge_at_once","0",0,"Minimal amount of data parts which merge selector can pick to merge at once (expert level setting, don't change if you don't understand what it is doing). 0 - disabled. Works for Simple and StochasticSimple merge selectors.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","parts_to_delay_insert","1000",0,"If table contains at least that many active parts in single partition, artificially slow down insert into table. Disabled if set to 0",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","inactive_parts_to_delay_insert","0",0,"If table contains at least that many inactive parts in single partition, artificially slow down insert into table.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","parts_to_throw_insert","3000",0,"If more than this number active parts in single partition, throw 'Too many parts ...' exception.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","inactive_parts_to_throw_insert","0",0,"If more than this number inactive parts in single partition, throw 'Too many inactive parts ...' exception.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_avg_part_size_for_too_many_parts","1073741824",0,"The 'too many parts' check according to 'parts_to_delay_insert' and 'parts_to_throw_insert' will be active only if the average part size (in the relevant partition) is not larger than the specified threshold. If it is larger than the specified threshold, the INSERTs will be neither delayed or rejected. This allows to have hundreds of terabytes in a single table on a single server if the parts are successfully merged to larger parts. This does not affect the thresholds on inactive parts or total parts.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_delay_to_insert","1",0,"Max delay of inserting data into MergeTree table in seconds, if there are a lot of unmerged parts in single partition.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_delay_to_insert_ms","10",0,"Min delay of inserting data into MergeTree table in milliseconds, if there are a lot of unmerged parts in single partition.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_parts_in_total","100000",0,"If more than this number active parts in all partitions in total, throw 'Too many parts ...' exception.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","async_insert","0",0,"If true, data from INSERT query is stored in queue and later flushed to table in background.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","add_implicit_sign_column_constraint_for_collapsing_engine","0",0,"If true, add implicit constraint for sign column for CollapsingMergeTree engine.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","sleep_before_commit_local_part_in_replicated_table_ms","0",0,"For testing. Do not change it.",\N,\N,0,"Milliseconds",0,"Production"
"25.1.4.53","optimize_row_order","0",0,"Allow reshuffling of rows during part inserts and merges to improve the compressibility of the new part",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","use_adaptive_write_buffer_for_dynamic_subcolumns","1",0,"Allow to use adaptive writer buffers during writing dynamic subcolumns to reduce memory usage",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","adaptive_write_buffer_initial_size","16384",0,"Initial size of an adaptive write buffer",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_free_disk_bytes_to_perform_insert","0",0,"Minimum free disk space bytes to perform an insert.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_free_disk_ratio_to_perform_insert","0",0,"Minimum free disk space ratio to perform an insert.",\N,\N,0,"Float",0,"Production"
"25.1.4.53","simultaneous_parts_removal_limit","0",0,"Maximum number of parts to remove during one CleanupThread iteration (0 means unlimited).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","reduce_blocking_parts_sleep_ms","5000",0,"Only available in ClickHouse Cloud. Minimum time to wait before trying to reduce blocking parts again after no ranges were dropped/replaced. A lower setting will trigger tasks in background_schedule_pool frequently which result in large amount of requests to zookeeper in large-scale clusters",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","replicated_deduplication_window","1000",0,"How many last blocks of hashes should be kept in ZooKeeper (old blocks will be deleted).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","replicated_deduplication_window_seconds","604800",0,"Similar to ""replicated_deduplication_window"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","replicated_deduplication_window_for_async_inserts","10000",0,"How many last hash values of async_insert blocks should be kept in ZooKeeper (old blocks will be deleted).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","replicated_deduplication_window_seconds_for_async_inserts","604800",0,"Similar to ""replicated_deduplication_window_for_async_inserts"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","async_block_ids_cache_update_wait_ms","100",0,"How long each insert iteration will wait for async_block_ids_cache update",\N,\N,0,"Milliseconds",0,"Production"
"25.1.4.53","use_async_block_ids_cache","1",0,"Use in-memory cache to filter duplicated async inserts based on block ids",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","max_replicated_logs_to_keep","1000",0,"How many records may be in log, if there is inactive replica. Inactive replica becomes lost when when this number exceed.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_replicated_logs_to_keep","10",0,"Keep about this number of last records in ZooKeeper log, even if they are obsolete. It doesn't affect work of tables: used only to diagnose ZooKeeper log before cleaning.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","prefer_fetch_merged_part_time_threshold","3600",0,"If time passed after replication log entry creation exceeds this threshold and sum size of parts is greater than ""prefer_fetch_merged_part_size_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","prefer_fetch_merged_part_size_threshold","10737418240",0,"If sum size of parts exceeds this threshold and time passed after replication log entry creation is greater than ""prefer_fetch_merged_part_time_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","execute_merges_on_single_replica_time_threshold","0",0,"When greater than zero only a single replica starts the merge immediately, others wait up to that amount of time to download the result instead of doing merges locally. If the chosen replica doesn't finish the merge during that amount of time, fallback to standard behavior happens.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","remote_fs_execute_merges_on_single_replica_time_threshold","10800",0,"When greater than zero only a single replica starts the merge immediately if merged part on shared storage and 'allow_remote_fs_zero_copy_replication' is enabled.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","try_fetch_recompressed_part_timeout","7200",0,"Recompression works slow in most cases, so we don't start merge with recompression until this timeout and trying to fetch recompressed part from replica which assigned this merge with recompression.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","always_fetch_merged_part","0",0,"If true, replica never merge parts and always download merged parts from other replicas.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","number_of_partitions_to_consider_for_merge","10",0,"Only available in ClickHouse Cloud. Up to top N partitions which we will consider for merge. Partitions picked in a random weighted way where weight is amount of data parts which can be merged in this partition.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_suspicious_broken_parts","100",0,"Max broken parts, if more - deny automatic deletion.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_suspicious_broken_parts_bytes","1073741824",0,"Max size of all broken parts, if more - deny automatic deletion.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_files_to_modify_in_alter_columns","75",0,"Not apply ALTER if number of files for modification(deletion, addition) more than this.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_files_to_remove_in_alter_columns","50",0,"Not apply ALTER, if number of files for deletion more than this.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","replicated_max_ratio_of_wrong_parts","0.5",0,"If ratio of wrong parts to total number of parts is less than this - allow to start.",\N,\N,0,"Float",0,"Production"
"25.1.4.53","replicated_can_become_leader","1",0,"If true, Replicated tables replicas on this node will try to acquire leadership.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","zookeeper_session_expiration_check_period","60",0,"ZooKeeper session expiration check period, in seconds.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","initialization_retry_period","60",0,"Retry period for table initialization, in seconds.",\N,\N,0,"Seconds",0,"Production"
"25.1.4.53","detach_old_local_parts_when_cloning_replica","1",0,"Do not remove old local parts when repairing lost replica.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","detach_not_byte_identical_parts","0",0,"Do not remove non byte-idential parts for ReplicatedMergeTree, instead detach them (maybe useful for further analysis).",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","max_replicated_fetches_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated fetches. Zero means unlimited.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_replicated_sends_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated sends. Zero means unlimited.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","wait_for_unique_parts_send_before_shutdown_ms","0",0,"Before shutdown table will wait for required amount time for unique parts (exist only on current replica) to be fetched by other replicas (0 means disabled).",\N,\N,0,"Milliseconds",0,"Production"
"25.1.4.53","fault_probability_before_part_commit","0",0,"For testing. Do not change it.",\N,\N,0,"Float",0,"Production"
"25.1.4.53","fault_probability_after_part_commit","0",0,"For testing. Do not change it.",\N,\N,0,"Float",0,"Production"
"25.1.4.53","shared_merge_tree_disable_merges_and_mutations_assignment","0",0,"Stop merges assignment for shared merge tree. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_enable_outdated_parts_check","1",0,"Enable outdated parts check. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_partitions_hint_ratio_to_reload_merge_pred_for_mutations","0.5",0,"Will reload merge predicate in merge/mutate selecting task when <candidate partitions for mutations only (partitions that cannot be merged)>/<candidate partitions for mutations> ratio is higher than the setting. Only available in ClickHouse Cloud",\N,\N,0,"Float",0,"Production"
"25.1.4.53","shared_merge_tree_parts_load_batch_size","32",0,"Amount of fetch parts metadata jobs to schedule at once. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_max_parts_update_leaders_in_total","6",0,"Maximum number of parts update leaders. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_max_parts_update_leaders_per_az","2",0,"Maximum number of parts update leaders. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_leader_update_period_seconds","30",0,"Maximum period to recheck leadership for parts update. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_leader_update_period_random_add_seconds","10",0,"Add uniformly distributed value from 0 to x seconds to shared_merge_tree_leader_update_period to avoid thundering herd effect. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_read_virtual_parts_from_leader","1",0,"Read virtual parts from leader when possible. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_interserver_http_timeout_ms","10000",0,"Timeouts for interserver HTTP communication. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_max_replicas_for_parts_deletion","10",0,"Max replicas which will participate in parts deletion (killer thread). Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_max_replicas_to_merge_parts_for_each_parts_range","5",0,"Max replicas which will try to assign potentially conflicting merges (allow to avoid redundant conflicts in merges assignment). 0 means disabled. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_use_outdated_parts_compact_format","0",0,"Use compact format for outdated parts: reduces load to Keeper, improves outdated parts processing. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_memo_ids_remove_timeout_seconds","1800",0,"How long we store insert memoization ids to avoid wrong actions during insert retries. Only available in ClickHouse Cloud",\N,\N,0,"Int64",0,"Production"
"25.1.4.53","shared_merge_tree_idle_parts_update_seconds","3600",0,"Interval in seconds for parts update without being triggered by ZooKeeper watch in the shared merge tree. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_max_outdated_parts_to_process_at_once","1000",0,"Maximum amount of outdated parts leader will try to confirm for removal at one HTTP request. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_postpone_next_merge_for_locally_merged_parts_rows_threshold","1000000",0,"Minimum size of part (in rows) to postpone assigning a next merge just after merging it locally. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_postpone_next_merge_for_locally_merged_parts_ms","0",0,"Time to keep a locally merged part without starting a new merge containing this part. Gives other replicas a chance fetch the part and start this merge. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_range_for_merge_window_size","10",0,"Time to keep a locally merged part without starting a new merge containing this part. Gives other replicas a chance fetch the part and start this merge. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","shared_merge_tree_use_too_many_parts_count_from_virtual_parts","0",0,"If enabled too many parts counter will rely on shared data in Keeper, not on local replica state. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_create_per_replica_metadata_nodes","1",0,"Enables creation of per-replica /metadata and /columns nodes in ZooKeeper. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_use_metadata_hints_cache","1",0,"Enables requesting FS cache hints from in-memory cache on other replicas. Only available in ClickHouse Cloud",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","shared_merge_tree_try_fetch_part_in_memory_data_from_replicas","0",0,"If enabled all the replicas try to fetch part in memory data (like primary key, partition info and so on) from other replicas where it already exists.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","min_relative_delay_to_measure","120",0,"Calculate relative replica delay only if absolute delay is not less that this value.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","cleanup_delay_period","30",0,"Minimum period to clean old queue logs, blocks hashes and parts.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_cleanup_delay_period","300",0,"Maximum period to clean old queue logs, blocks hashes and parts.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","cleanup_delay_period_random_add","10",0,"Add uniformly distributed value from 0 to x seconds to cleanup_delay_period to avoid thundering herd effect and subsequent DoS of ZooKeeper in case of very large number of tables.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","cleanup_thread_preferred_points_per_iteration","150",0,"Preferred batch size for background cleanup (points are abstract but 1 point is approximately equivalent to 1 inserted block).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","cleanup_threads","128",0,"Threads for cleanup of outdated threads. Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_relative_delay_to_close","300",0,"Minimal delay from other replicas to close, stop serving requests and not return Ok during status check.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_absolute_delay_to_close","0",0,"Minimal absolute delay to close, stop serving requests and not return Ok during status check.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","enable_vertical_merge_algorithm","1",0,"Enable usage of Vertical merge algorithm.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","vertical_merge_algorithm_min_rows_to_activate","131072",0,"Minimal (approximate) sum of rows in merging parts to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","vertical_merge_algorithm_min_bytes_to_activate","0",0,"Minimal (approximate) uncompressed size in bytes in merging parts to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","vertical_merge_algorithm_min_columns_to_activate","11",0,"Minimal amount of non-PK columns to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0,"Production"
