"ch_version","version","changes"
"23.3.22.3","21.5","[('async_socket_for_remote','0','1','Fix all problems and turn on asynchronous reads from socket for remote queries by default again')]"
"23.3.22.3","21.3","[('async_socket_for_remote','1','0','Turn off asynchronous reads from socket for remote queries because of some problems'),('optimize_normalize_count_variants','0','1','Rewrite aggregate functions that semantically equals to count() as count() by default'),('normalize_function_names','0','1','Normalize function names to their canonical names, this was needed for projection query routing')]"
"23.3.22.3","21.2","[('enable_global_with_statement','0','1','Propagate WITH statements to UNION queries and all subqueries by default')]"
"23.3.22.3","21.1","[('insert_quorum_parallel','0','1','Use parallel quorum inserts by default. It is significantly more convenient to use than sequential quorum inserts'),('input_format_null_as_default','0','1','Allow to insert NULL as default for input formats by default'),('optimize_on_insert','0','1','Enable data optimization on INSERT by default for better user experience'),('use_compact_format_in_distributed_parts_names','0','1','Use compact format for async INSERT into Distributed tables by default')]"
"23.3.22.3","20.10","[('format_regexp_escaping_rule','Escaped','Raw','Use Raw as default escaping rule for Regexp format to male the behaviour more like to what users expect')]"
"23.3.22.3","20.7","[('show_table_uuid_in_table_create_query_if_not_nil','1','0','Stop showing  UID of the table in its CREATE query for Engine=Atomic')]"
"23.3.22.3","20.5","[('input_format_with_names_use_header','0','1','Enable using header with names for formats with WithNames/WithNamesAndTypes suffixes'),('allow_suspicious_codecs','1','0','Don\'t allow to specify meaningless compression codecs')]"
"23.3.22.3","20.4","[('validate_polygons','0','1','Throw exception if polygon is invalid in function pointInPolygon by default instead of returning possibly wrong results')]"
"23.3.22.3","19.18","[('enable_scalar_subquery_optimization','0','1','Prevent scalar subqueries from (de)serializing large scalar values and possibly avoid running the same subquery more than once')]"
"23.3.22.3","19.14","[('any_join_distinct_right_table_keys','1','0','Disable ANY RIGHT and ANY FULL JOINs by default to avoid inconsistency')]"
"23.3.22.3","19.12","[('input_format_defaults_for_omitted_fields','0','1','Enable calculation of complex default expressions for omitted fields for some input formats, because it should be the expected behaviour')]"
"23.3.22.3","19.5","[('max_partitions_per_insert_block','0','100','Add a limit for the number of partitions in one block')]"
"23.3.22.3","18.12.17","[('enable_optimize_predicate_expression','0','1','Optimize predicates to subqueries by default')]"
