"ch_version","name","value","changed","description"
"19.1.14","output_format_json_escape_forward_slashes","1",0,"Controls escaping forward slashes for string outputs in JSON output format. This is intended for compatibility with JavaScript. Don't confuse with backslashes that are always escaped."
"19.1.14","output_format_pretty_max_rows","10000",0,"Rows limit for Pretty formats."
"19.1.14","output_format_pretty_max_column_pad_width","250",0,"Maximum width to pad all values in a column in Pretty formats."
"19.1.14","output_format_pretty_color","1",0,"Use ANSI escape sequences to paint colors in Pretty formats"
"19.1.14","use_client_time_zone","0",0,"Use client timezone for interpreting DateTime string values, instead of adopting server timezone."
"19.1.14","send_progress_in_http_headers","0",0,"Send progress notifications using X-ClickHouse-Progress headers. Some clients do not support high amount of HTTP headers (Python requests in particular), so it is disabled by default."
"19.1.14","http_headers_progress_interval_ms","100",0,"Do not send HTTP headers X-ClickHouse-Progress more frequently than at each specified interval."
"19.1.14","fsync_metadata","1",0,"Do fsync after changing metadata for tables and databases (.sql files). Could be disabled in case of poor latency on server with high load of DDL queries and high load of disk subsystem."
"19.1.14","input_format_allow_errors_num","0",0,"Maximum absolute amount of errors while reading text formats (like CSV, TSV). In case of error, if both absolute and relative values are non-zero, and at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"19.1.14","input_format_allow_errors_ratio","0",0,"Maximum relative amount of errors while reading text formats (like CSV, TSV). In case of error, if both absolute and relative values are non-zero, and at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"19.1.14","join_use_nulls","0",0,"Use NULLs for non-joined rows of outer JOINs. If false, use default value of corresponding columns data type."
"19.1.14","join_default_strictness","ALL",0,"Set default strictness in JOIN query. Possible values: empty string, 'ANY', 'ALL'. If empty, query without strictness will throw exception."
"19.1.14","preferred_block_size_bytes","1000000",0,""
"19.1.14","max_replica_delay_for_distributed_queries","300",0,"If set, distributed queries of Replicated tables will choose servers with replication delay in seconds less than the specified value (not inclusive). Zero means do not take delay into account."
"19.1.14","fallback_to_stale_replicas_for_distributed_queries","1",0,"Suppose max_replica_delay_for_distributed_queries is set and all replicas for the queried table are stale. If this setting is enabled, the query will be performed anyway, otherwise the error will be reported."
"19.1.14","preferred_max_column_in_block_size_bytes","0",0,"Limit on max column size in block while reading. Helps to decrease cache misses count. Should be close to L2 cache size."
"19.1.14","insert_distributed_sync","0",0,"If setting is enabled, insert query into distributed waits until data will be sent to all nodes in cluster."
"19.1.14","insert_distributed_timeout","0",0,"Timeout for insert query into distributed. Setting is used only with insert_distributed_sync enabled. Zero value means no timeout."
"19.1.14","distributed_ddl_task_timeout","180",0,"Timeout for DDL query responses from all hosts in cluster. Negative value means infinite."
"19.1.14","stream_flush_interval_ms","7500",0,"Timeout for flushing data from streaming storages."
"19.1.14","format_schema","",0,"Schema identifier (used by schema-based formats)"
"19.1.14","insert_allow_materialized_columns","0",0,"If setting is enabled, Allow materialized columns in INSERT."
"19.1.14","http_connection_timeout","1",0,"HTTP connection timeout."
"19.1.14","http_send_timeout","1800",0,"HTTP send timeout"
"19.1.14","http_receive_timeout","1800",0,"HTTP receive timeout"
"19.1.14","optimize_throw_if_noop","0",0,"If setting is enabled and OPTIMIZE query didn't actually assign a merge then an explanatory exception is thrown"
"19.1.14","use_index_for_in_with_subqueries","1",0,"Try using an index if there is a subquery or a table expression on the right side of the IN operator."
"19.1.14","empty_result_for_aggregation_by_empty_set","0",0,"Return empty result when aggregating without keys on empty set."
"19.1.14","allow_distributed_ddl","1",0,"If it is set to true, then a user is allowed to executed distributed DDL queries."
"19.1.14","odbc_max_field_size","1024",0,"Max size of filed can be read from ODBC dictionary. Long strings are truncated."
"19.1.14","max_rows_to_read","0",0,"Limit on read rows from the most 'deep' sources. That is, only in the deepest subquery. When reading from a remote server, it is only checked on a remote server."
"19.1.14","max_bytes_to_read","0",0,"Limit on read bytes (after decompression) from the most 'deep' sources. That is, only in the deepest subquery. When reading from a remote server, it is only checked on a remote server."
"19.1.14","read_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_rows_to_group_by","0",0,""
"19.1.14","group_by_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_bytes_before_external_group_by","0",0,""
"19.1.14","max_rows_to_sort","0",0,""
"19.1.14","max_bytes_to_sort","0",0,""
"19.1.14","sort_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_bytes_before_external_sort","0",0,""
"19.1.14","max_bytes_before_remerge_sort","1000000000",0,"In case of ORDER BY with LIMIT, when memory usage is higher than specified threshold, perform additional steps of merging blocks before final merge to keep just top LIMIT rows."
"19.1.14","max_result_rows","0",0,"Limit on result size in rows. Also checked for intermediate data sent from remote servers."
"19.1.14","max_result_bytes","0",0,"Limit on result size in bytes (uncompressed). Also checked for intermediate data sent from remote servers."
"19.1.14","result_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_execution_time","0",0,""
"19.1.14","timeout_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","min_execution_speed","0",0,"In rows per second."
"19.1.14","timeout_before_checking_execution_speed","0",0,"Check that the speed is not too low after the specified time has elapsed."
"19.1.14","max_columns_to_read","0",0,""
"19.1.14","max_temporary_columns","0",0,""
"19.1.14","max_temporary_non_const_columns","0",0,""
"19.1.14","max_subquery_depth","100",0,""
"19.1.14","max_pipeline_depth","1000",0,""
"19.1.14","max_ast_depth","1000",0,"Maximum depth of query syntax tree. Checked after parsing."
"19.1.14","max_ast_elements","50000",0,"Maximum size of query syntax tree in number of nodes. Checked after parsing."
"19.1.14","max_expanded_ast_elements","500000",0,"Maximum size of query syntax tree in number of nodes after expansion of aliases and the asterisk."
"19.1.14","readonly","0",0,"0 - everything is allowed. 1 - only read requests. 2 - only read requests, as well as changing settings, except for the 'readonly' setting."
"19.1.14","max_rows_in_set","0",0,"Maximum size of the set (in number of elements) resulting from the execution of the IN section."
"19.1.14","max_bytes_in_set","0",0,"Maximum size of the set (in bytes in memory) resulting from the execution of the IN section."
"19.1.14","set_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_rows_in_join","0",0,"Maximum size of the hash table for JOIN (in number of rows)."
"19.1.14","max_bytes_in_join","0",0,"Maximum size of the hash table for JOIN (in number of bytes in memory)."
"19.1.14","join_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_rows_to_transfer","0",0,"Maximum size (in rows) of the transmitted external table obtained when the GLOBAL IN/JOIN section is executed."
"19.1.14","max_bytes_to_transfer","0",0,"Maximum size (in uncompressed bytes) of the transmitted external table obtained when the GLOBAL IN/JOIN section is executed."
"19.1.14","transfer_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_rows_in_distinct","0",0,"Maximum number of elements during execution of DISTINCT."
"19.1.14","max_bytes_in_distinct","0",0,"Maximum total size of state (in uncompressed bytes) in memory for the execution of DISTINCT."
"19.1.14","distinct_overflow_mode","throw",0,"What to do when the limit is exceeded."
"19.1.14","max_memory_usage","10000000000",1,"Maximum memory usage for processing of single query. Zero means unlimited."
"19.1.14","max_memory_usage_for_user","0",0,"Maximum memory usage for processing all concurrently running queries for the user. Zero means unlimited."
"19.1.14","max_memory_usage_for_all_queries","0",0,"Maximum memory usage for processing all concurrently running queries on the server. Zero means unlimited."
"19.1.14","max_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for a query. Zero means unlimited."
"19.1.14","max_network_bytes","0",0,"The maximum number of bytes (compressed) to receive or transmit over the network for execution of the query."
"19.1.14","max_network_bandwidth_for_user","0",0,"The maximum speed of data exchange over the network in bytes per second for all concurrently running user queries. Zero means unlimited."
"19.1.14","max_network_bandwidth_for_all_users","0",0,"The maximum speed of data exchange over the network in bytes per second for all concurrently running queries. Zero means unlimited."
"19.1.14","format_csv_delimiter",",",0,"The character to be considered as a delimiter in CSV data. If setting with a string, a string has to have a length of 1."
"19.1.14","format_csv_allow_single_quotes","1",0,"If it is set to true, allow strings in single quotes."
"19.1.14","format_csv_allow_double_quotes","1",0,"If it is set to true, allow strings in double quotes."
"19.1.14","date_time_input_format","basic",0,"Method to read DateTime from text input formats. Possible values: 'basic' and 'best_effort'."
"19.1.14","log_profile_events","1",0,"Log query performance statistics into the query_log and query_thread_log."
"19.1.14","log_query_settings","1",0,"Log query settings into the query_log."
"19.1.14","log_query_threads","1",0,"Log query threads into system.query_thread_log table. This setting have effect only when 'log_queries' is true."
"19.1.14","send_logs_level","none",0,"Send server text logs with specified minimum level to client. Valid values: 'trace', 'debug', 'information', 'warning', 'error', 'none'"
"19.1.14","enable_optimize_predicate_expression","0",0,"If it is set to true, optimize predicates to subqueries."
"19.1.14","low_cardinality_max_dictionary_size","8192",0,"Maximum size (in rows) of shared global dictionary for LowCardinality type."
"19.1.14","low_cardinality_use_single_dictionary_for_part","0",0,"LowCardinality type serialization setting. If is true, than will use additional keys when global dictionary overflows. Otherwise, will create several shared dictionaries."
"19.1.14","allow_experimental_low_cardinality_type","0",0,"Allows to create table with LowCardinality types."
"19.1.14","decimal_check_overflow","1",0,"Check overflow of decimal arithmetic/comparison operations"
"19.1.14","prefer_localhost_replica","1",0,"1 - always send query to local replica, if it exists. 0 - choose replica to send query between local and remote ones according to load_balancing"
"19.1.14","max_fetch_partition_retries_count","5",0,"Amount of retries while fetching partition from another host."
"19.1.14","asterisk_left_columns_only","0",0,"If it is set to true, the asterisk only return left of join query."
"19.1.14","http_max_multipart_form_data_size","1073741824",0,"Limit on size of multipart/form-data content. This setting cannot be parsed from URL parameters and should be set in user profile. Note that content is parsed and external tables are created in memory before start of query execution. And this is the only limit that has effect on that stage (limits on max memory usage and max execution time have no effect while reading HTTP form data)."
"19.1.14","calculate_text_stack_trace","1",0,"Calculate text stack trace in case of exceptions during query execution. This is the default. It requires symbol lookups that may slow down fuzzing tests when huge amount of wrong queries are executed. In normal cases you should not disable this option."
"19.1.14","allow_ddl","1",0,"If it is set to true, then a user is allowed to executed DDL queries."
"19.1.14","parallel_view_processing","0",0,"Enables pushing to attached views concurrently instead of sequentially."
"19.1.14","enable_debug_queries","0",0,"Enables debug queries such as AST."
"19.1.14","enable_unaligned_array_join","0",0,"Allow ARRAY JOIN with multiple arrays that have different sizes. When this settings is enabled, arrays will be resized to the longest one."
"19.1.14","low_cardinality_allow_in_native_format","1",0,"Use LowCardinality type in Native format. Otherwise, convert LowCardinality columns to ordinary for select query, and convert ordinary columns to required LowCardinality for insert query."
"19.1.14","allow_experimental_multiple_joins_emulation","0",0,"Emulate multiple joins using subselects"
