"ch_version","name","value","changed","description","min","max","disallowed_values","readonly","type","default","alias_for","is_obsolete","tier"
"25.7.3.13","max_joined_block_size_rows","65409",0,"Maximum block size for JOIN result (if join algorithm supports it). 0 means unlimited.",\N,\N,"[]",0,"UInt64","65409","",0,"Production"
"25.7.3.13","min_joined_block_size_rows","65409",0,"Minimum block size in rows for JOIN input and output blocks (if join algorithm supports it). Small blocks will be squashed. 0 means unlimited.",\N,\N,"[]",0,"UInt64","65409","",0,"Production"
"25.7.3.13","min_joined_block_size_bytes","524288",0,"Minimum block size in bytes for JOIN input and output blocks (if join algorithm supports it). Small blocks will be squashed. 0 means unlimited.",\N,\N,"[]",0,"UInt64","524288","",0,"Production"
"25.7.3.13","max_insert_threads","0",0,"The maximum number of threads to execute the `INSERT SELECT` query.

Possible values:

- 0 (or 1) — `INSERT SELECT` no parallel execution.
- Positive integer. Bigger than 1.

Cloud default value: from `2` to `4`, depending on the service size.

Parallel `INSERT SELECT` has effect only if the `SELECT` part is executed in parallel, see [max_threads](#max_threads) setting.
Higher values will lead to higher memory usage.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","max_insert_delayed_streams_for_parallel_write","0",0,"The maximum number of streams (columns) to delay final part flush. Default - auto (100 in case of underlying storage supports parallel write, for example S3 and disabled otherwise)",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","max_final_threads","'auto(12)'",0,"Sets the maximum number of parallel threads for the `SELECT` query data read phase with the [FINAL](/sql-reference/statements/select/from#final-modifier) modifier.

Possible values:

- Positive integer.
- 0 or 1 — Disabled. `SELECT` queries are executed in a single thread.",\N,\N,"[]",0,"MaxThreads","'auto(12)'","",0,"Production"
"25.7.3.13","max_threads_for_indexes","0",0,"The maximum number of threads process indices.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","max_threads","'auto(12)'",0,"The maximum number of query processing threads, excluding threads for retrieving data from remote servers (see the 'max_distributed_connections' parameter).

This parameter applies to threads that perform the same stages of the query processing pipeline in parallel.
For example, when reading from a table, if it is possible to evaluate expressions with functions, filter with WHERE and pre-aggregate for GROUP BY in parallel using at least 'max_threads' number of threads, then 'max_threads' are used.

For queries that are completed quickly because of a LIMIT, you can set a lower 'max_threads'. For example, if the necessary number of entries are located in every block and max_threads = 8, then 8 blocks are retrieved, although it would have been enough to read just one.

The smaller the `max_threads` value, the less memory is consumed.",\N,\N,"[]",0,"MaxThreads","'auto(12)'","",0,"Production"
"25.7.3.13","use_concurrency_control","1",0,"Respect the server's concurrency control (see the `concurrent_threads_soft_limit_num` and `concurrent_threads_soft_limit_ratio_to_cores` global server settings). If disabled, it allows using a larger number of threads even if the server is overloaded (not recommended for normal usage, and needed mostly for tests).",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","max_download_threads","4",0,"The maximum number of threads to download data (e.g. for URL engine).",\N,\N,"[]",0,"MaxThreads","4","",0,"Production"
"25.7.3.13","max_parsing_threads","'auto(12)'",0,"The maximum number of threads to parse data in input formats that support parallel parsing. By default, it is determined automatically.",\N,\N,"[]",0,"MaxThreads","'auto(12)'","",0,"Production"
"25.7.3.13","max_download_buffer_size","10485760",0,"The maximal size of buffer for parallel downloading (e.g. for URL engine) per each thread.",\N,\N,"[]",0,"UInt64","10485760","",0,"Production"
"25.7.3.13","max_read_buffer_size","1048576",0,"The maximum size of the buffer to read from the filesystem.",\N,\N,"[]",0,"NonZeroUInt64","1048576","",0,"Production"
"25.7.3.13","max_read_buffer_size_local_fs","131072",0,"The maximum size of the buffer to read from local filesystem. If set to 0 then max_read_buffer_size will be used.",\N,\N,"[]",0,"UInt64","131072","",0,"Production"
"25.7.3.13","max_read_buffer_size_remote_fs","0",0,"The maximum size of the buffer to read from remote filesystem. If set to 0 then max_read_buffer_size will be used.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","max_distributed_connections","1024",0,"The maximum number of simultaneous connections with remote servers for distributed processing of a single query to a single Distributed table. We recommend setting a value no less than the number of servers in the cluster.

The following parameters are only used when creating Distributed tables (and when launching a server), so there is no reason to change them at runtime.",\N,\N,"[]",0,"UInt64","1024","",0,"Production"
"25.7.3.13","max_query_size","262144",0,"The maximum number of bytes of a query string parsed by the SQL parser.
Data in the VALUES clause of INSERT queries is processed by a separate stream parser (that consumes O(1) RAM) and not affected by this restriction.

:::note
`max_query_size` cannot be set within an SQL query (e.g., `SELECT now() SETTINGS max_query_size=10000`) because ClickHouse needs to allocate a buffer to parse the query, and this buffer size is determined by the `max_query_size` setting, which must be configured before the query is executed.
:::",\N,\N,"[]",0,"UInt64","262144","",0,"Production"
"25.7.3.13","interactive_delay","100000",0,"The interval in microseconds for checking whether request execution has been canceled and sending the progress.",\N,\N,"[]",0,"UInt64","100000","",0,"Production"
"25.7.3.13","connect_timeout","10",0,"Connection timeout if there are no replicas.",\N,\N,"[]",0,"Seconds","10","",0,"Production"
"25.7.3.13","handshake_timeout_ms","10000",0,"Timeout in milliseconds for receiving Hello packet from replicas during handshake.",\N,\N,"[]",0,"Milliseconds","10000","",0,"Production"
"25.7.3.13","connect_timeout_with_failover_ms","1000",0,"The timeout in milliseconds for connecting to a remote server for a Distributed table engine, if the 'shard' and 'replica' sections are used in the cluster definition.
If unsuccessful, several attempts are made to connect to various replicas.",\N,\N,"[]",0,"Milliseconds","1000","",0,"Production"
"25.7.3.13","connect_timeout_with_failover_secure_ms","1000",0,"Connection timeout for selecting first healthy replica (for secure connections).",\N,\N,"[]",0,"Milliseconds","1000","",0,"Production"
"25.7.3.13","receive_timeout","300",0,"Timeout for receiving data from the network, in seconds. If no bytes were received in this interval, the exception is thrown. If you set this setting on the client, the 'send_timeout' for the socket will also be set on the corresponding connection end on the server.",\N,\N,"[]",0,"Seconds","300","",0,"Production"
"25.7.3.13","send_timeout","300",0,"Timeout for sending data to the network, in seconds. If a client needs to send some data but is not able to send any bytes in this interval, the exception is thrown. If you set this setting on the client, the 'receive_timeout' for the socket will also be set on the corresponding connection end on the server.",\N,\N,"[]",0,"Seconds","300","",0,"Production"
"25.7.3.13","tcp_keep_alive_timeout","290",0,"The time in seconds the connection needs to remain idle before TCP starts sending keepalive probes",\N,\N,"[]",0,"Seconds","290","",0,"Production"
"25.7.3.13","hedged_connection_timeout_ms","50",0,"Connection timeout for establishing connection with replica for Hedged requests",\N,\N,"[]",0,"Milliseconds","50","",0,"Production"
"25.7.3.13","receive_data_timeout_ms","2000",0,"Connection timeout for receiving first packet of data or packet with positive progress from replica",\N,\N,"[]",0,"Milliseconds","2000","",0,"Production"
"25.7.3.13","use_hedged_requests","1",0,"Enables hedged requests logic for remote queries. It allows to establish many connections with different replicas for query.
New connection is enabled in case existent connection(s) with replica(s) were not established within `hedged_connection_timeout`
or no data was received within `receive_data_timeout`. Query uses the first connection which send non empty progress packet (or data packet, if `allow_changing_replica_until_first_data_packet`);
other connections are cancelled. Queries with `max_parallel_replicas > 1` are supported.

Enabled by default.

Disabled by default on Cloud.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","allow_changing_replica_until_first_data_packet","0",0,"If it's enabled, in hedged requests we can start new connection until receiving first data packet even if we have already made some progress
(but progress haven't updated for `receive_data_timeout` timeout), otherwise we disable changing replica after the first time we made progress.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","queue_max_wait_ms","0",0,"The wait time in the request queue, if the number of concurrent requests exceeds the maximum.",\N,\N,"[]",0,"Milliseconds","0","",0,"Production"
"25.7.3.13","connection_pool_max_wait_ms","0",0,"The wait time in milliseconds for a connection when the connection pool is full.

Possible values:

- Positive integer.
- 0 — Infinite timeout.",\N,\N,"[]",0,"Milliseconds","0","",0,"Production"
"25.7.3.13","replace_running_query_max_wait_ms","5000",0,"The wait time for running the query with the same `query_id` to finish, when the [replace_running_query](#replace_running_query) setting is active.

Possible values:

- Positive integer.
- 0 — Throwing an exception that does not allow to run a new query if the server already executes a query with the same `query_id`.",\N,\N,"[]",0,"Milliseconds","5000","",0,"Production"
"25.7.3.13","kafka_max_wait_ms","5000",0,"The wait time in milliseconds for reading messages from [Kafka](/engines/table-engines/integrations/kafka) before retry.

Possible values:

- Positive integer.
- 0 — Infinite timeout.

See also:

- [Apache Kafka](https://kafka.apache.org/)",\N,\N,"[]",0,"Milliseconds","5000","",0,"Production"
"25.7.3.13","rabbitmq_max_wait_ms","5000",0,"The wait time for reading from RabbitMQ before retry.",\N,\N,"[]",0,"Milliseconds","5000","",0,"Production"
"25.7.3.13","poll_interval","10",0,"Block at the query wait loop on the server for the specified number of seconds.",\N,\N,"[]",0,"UInt64","10","",0,"Production"
"25.7.3.13","idle_connection_timeout","3600",0,"Timeout to close idle TCP connections after specified number of seconds.

Possible values:

- Positive integer (0 - close immediately, after 0 seconds).",\N,\N,"[]",0,"UInt64","3600","",0,"Production"
"25.7.3.13","distributed_connections_pool_size","1024",0,"The maximum number of simultaneous connections with remote servers for distributed processing of all queries to a single Distributed table. We recommend setting a value no less than the number of servers in the cluster.",\N,\N,"[]",0,"UInt64","1024","",0,"Production"
"25.7.3.13","connections_with_failover_max_tries","3",0,"The maximum number of connection attempts with each replica for the Distributed table engine.",\N,\N,"[]",0,"UInt64","3","",0,"Production"
"25.7.3.13","s3_strict_upload_part_size","0",0,"The exact size of part to upload during multipart upload to S3 (some implementations does not supports variable size parts).",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","azure_strict_upload_part_size","0",0,"The exact size of part to upload during multipart upload to Azure blob storage.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","azure_max_blocks_in_multipart_upload","50000",0,"Maximum number of blocks in multipart upload for Azure.",\N,\N,"[]",0,"UInt64","50000","",0,"Production"
"25.7.3.13","s3_min_upload_part_size","16777216",0,"The minimum size of part to upload during multipart upload to S3.",\N,\N,"[]",0,"UInt64","16777216","",0,"Production"
"25.7.3.13","s3_max_upload_part_size","5368709120",0,"The maximum size of part to upload during multipart upload to S3.",\N,\N,"[]",0,"UInt64","5368709120","",0,"Production"
"25.7.3.13","azure_min_upload_part_size","16777216",0,"The minimum size of part to upload during multipart upload to Azure blob storage.",\N,\N,"[]",0,"UInt64","16777216","",0,"Production"
"25.7.3.13","azure_max_upload_part_size","5368709120",0,"The maximum size of part to upload during multipart upload to Azure blob storage.",\N,\N,"[]",0,"UInt64","5368709120","",0,"Production"
"25.7.3.13","s3_upload_part_size_multiply_factor","2",0,"Multiply s3_min_upload_part_size by this factor each time s3_multiply_parts_count_threshold parts were uploaded from a single write to S3.",\N,\N,"[]",0,"UInt64","2","",0,"Production"
"25.7.3.13","s3_upload_part_size_multiply_parts_count_threshold","500",0,"Each time this number of parts was uploaded to S3, s3_min_upload_part_size is multiplied by s3_upload_part_size_multiply_factor.",\N,\N,"[]",0,"UInt64","500","",0,"Production"
"25.7.3.13","s3_max_part_number","10000",0,"Maximum part number number for s3 upload part.",\N,\N,"[]",0,"UInt64","10000","",0,"Production"
"25.7.3.13","s3_allow_multipart_copy","1",0,"Allow multipart copy in S3.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","s3_max_single_operation_copy_size","33554432",0,"Maximum size for single-operation copy in s3. This setting is used only if s3_allow_multipart_copy is true.",\N,\N,"[]",0,"UInt64","33554432","",0,"Production"
"25.7.3.13","azure_upload_part_size_multiply_factor","2",0,"Multiply azure_min_upload_part_size by this factor each time azure_multiply_parts_count_threshold parts were uploaded from a single write to Azure blob storage.",\N,\N,"[]",0,"UInt64","2","",0,"Production"
"25.7.3.13","azure_upload_part_size_multiply_parts_count_threshold","500",0,"Each time this number of parts was uploaded to Azure blob storage, azure_min_upload_part_size is multiplied by azure_upload_part_size_multiply_factor.",\N,\N,"[]",0,"UInt64","500","",0,"Production"
"25.7.3.13","s3_max_inflight_parts_for_one_file","20",0,"The maximum number of a concurrent loaded parts in multipart upload request. 0 means unlimited.",\N,\N,"[]",0,"UInt64","20","",0,"Production"
"25.7.3.13","azure_max_inflight_parts_for_one_file","20",0,"The maximum number of a concurrent loaded parts in multipart upload request. 0 means unlimited.",\N,\N,"[]",0,"UInt64","20","",0,"Production"
"25.7.3.13","s3_max_single_part_upload_size","33554432",0,"The maximum size of object to upload using singlepart upload to S3.",\N,\N,"[]",0,"UInt64","33554432","",0,"Production"
"25.7.3.13","azure_max_single_part_upload_size","104857600",0,"The maximum size of object to upload using singlepart upload to Azure blob storage.",\N,\N,"[]",0,"UInt64","104857600","",0,"Production"
"25.7.3.13","azure_max_single_part_copy_size","268435456",0,"The maximum size of object to copy using single part copy to Azure blob storage.",\N,\N,"[]",0,"UInt64","268435456","",0,"Production"
"25.7.3.13","s3_max_single_read_retries","4",0,"The maximum number of retries during single S3 read.",\N,\N,"[]",0,"UInt64","4","",0,"Production"
"25.7.3.13","azure_max_single_read_retries","4",0,"The maximum number of retries during single Azure blob storage read.",\N,\N,"[]",0,"UInt64","4","",0,"Production"
"25.7.3.13","azure_max_unexpected_write_error_retries","4",0,"The maximum number of retries in case of unexpected errors during Azure blob storage write",\N,\N,"[]",0,"UInt64","4","",0,"Production"
"25.7.3.13","s3_max_unexpected_write_error_retries","4",0,"The maximum number of retries in case of unexpected errors during S3 write.",\N,\N,"[]",0,"UInt64","4","",0,"Production"
"25.7.3.13","s3_max_redirects","10",0,"Max number of S3 redirects hops allowed.",\N,\N,"[]",0,"UInt64","10","",0,"Production"
"25.7.3.13","s3_max_connections","1024",0,"The maximum number of connections per server.",\N,\N,"[]",0,"UInt64","1024","",0,"Production"
"25.7.3.13","s3_max_get_rps","0",0,"Limit on S3 GET request per second rate before throttling. Zero means unlimited.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","s3_max_get_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_get_rps`",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","s3_max_put_rps","0",0,"Limit on S3 PUT request per second rate before throttling. Zero means unlimited.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","s3_max_put_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_put_rps`",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","s3_list_object_keys_size","1000",0,"Maximum number of files that could be returned in batch by ListObject request",\N,\N,"[]",0,"UInt64","1000","",0,"Production"
"25.7.3.13","s3_use_adaptive_timeouts","1",0,"When set to `true` than for all s3 requests first two attempts are made with low send and receive timeouts.
When set to `false` than all attempts are made with identical timeouts.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","s3_slow_all_threads_after_network_error","1",0,"When set to `true` than all threads executing s3 requests to the same endpoint get slow down for a while
after one s3 request fails with a retryable network error.
When set to `false` than each thread executing s3 request uses an independent set of backoffs on network errors.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","azure_list_object_keys_size","1000",0,"Maximum number of files that could be returned in batch by ListObject request",\N,\N,"[]",0,"UInt64","1000","",0,"Production"
"25.7.3.13","s3_truncate_on_insert","0",0,"Enables or disables truncate before inserts in s3 engine tables. If disabled, an exception will be thrown on insert attempts if an S3 object already exists.

Possible values:
- 0 — `INSERT` query creates a new file or fail if file exists and s3_create_new_file_on_insert is not set.
- 1 — `INSERT` query replaces existing content of the file with the new data.

See more details [here](/integrations/s3#inserting-data).",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","azure_truncate_on_insert","0",0,"Enables or disables truncate before insert in azure engine tables.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in s3 engine tables. If enabled, on each insert a new S3 object will be created with the key, similar to this pattern:

initial: `data.Parquet.gz` -> `data.1.Parquet.gz` -> `data.2.Parquet.gz`, etc.

Possible values:
- 0 — `INSERT` query creates a new file or fail if file exists and s3_truncate_on_insert is not set.
- 1 — `INSERT` query creates a new file on each insert using suffix (from the second one) if s3_truncate_on_insert is not set.

See more details [here](/integrations/s3#inserting-data).",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_skip_empty_files","1",0,"Enables or disables skipping empty files in [S3](../../engines/table-engines/integrations/s3.md) engine tables.

Possible values:
- 0 — `SELECT` throws an exception if empty file is not compatible with requested format.
- 1 — `SELECT` returns empty result for empty file.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","azure_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in azure engine tables",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_check_objects_after_upload","0",0,"Check each uploaded object to s3 with head request to be sure that upload was successful",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","azure_check_objects_after_upload","0",0,"Check each uploaded object in azure blob storage to be sure that upload was successful",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_allow_parallel_part_upload","1",0,"Use multiple threads for s3 multipart upload. It may lead to slightly higher memory usage",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","azure_allow_parallel_part_upload","1",0,"Use multiple threads for azure multipart upload.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","s3_throw_on_zero_files_match","0",0,"Throw an error, when ListObjects request cannot match any files",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hdfs_throw_on_zero_files_match","0",0,"Throw an error if matched zero files according to glob expansion rules.

Possible values:
- 1 — `SELECT` throws an exception.
- 0 — `SELECT` returns empty result.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","azure_throw_on_zero_files_match","0",0,"Throw an error if matched zero files according to glob expansion rules.

Possible values:
- 1 — `SELECT` throws an exception.
- 0 — `SELECT` returns empty result.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_ignore_file_doesnt_exist","0",0,"Ignore absence of file if it does not exist when reading certain keys.

Possible values:
- 1 — `SELECT` returns empty result.
- 0 — `SELECT` throws an exception.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hdfs_ignore_file_doesnt_exist","0",0,"Ignore absence of file if it does not exist when reading certain keys.

Possible values:
- 1 — `SELECT` returns empty result.
- 0 — `SELECT` throws an exception.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","azure_ignore_file_doesnt_exist","0",0,"Ignore absence of file if it does not exist when reading certain keys.

Possible values:
- 1 — `SELECT` returns empty result.
- 0 — `SELECT` throws an exception.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","azure_sdk_max_retries","10",0,"Maximum number of retries in azure sdk",\N,\N,"[]",0,"UInt64","10","",0,"Production"
"25.7.3.13","azure_sdk_retry_initial_backoff_ms","10",0,"Minimal backoff between retries in azure sdk",\N,\N,"[]",0,"UInt64","10","",0,"Production"
"25.7.3.13","azure_sdk_retry_max_backoff_ms","1000",0,"Maximal backoff between retries in azure sdk",\N,\N,"[]",0,"UInt64","1000","",0,"Production"
"25.7.3.13","s3_validate_request_settings","1",0,"Enables s3 request settings validation.

Possible values:
- 1 — validate settings.
- 0 — do not validate settings.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","s3_disable_checksum","0",0,"Do not calculate a checksum when sending a file to S3. This speeds up writes by avoiding excessive processing passes on a file. It is mostly safe as the data of MergeTree tables is checksummed by ClickHouse anyway, and when S3 is accessed with HTTPS, the TLS layer already provides integrity while transferring through the network. While additional checksums on S3 give defense in depth.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3_retry_attempts","100",0,"Setting for Aws::Client::RetryStrategy, Aws::Client does retries itself, 0 means no retries",\N,\N,"[]",0,"UInt64","100","",0,"Production"
"25.7.3.13","s3_request_timeout_ms","30000",0,"Idleness timeout for sending and receiving data to/from S3. Fail if a single TCP read or write call blocks for this long.",\N,\N,"[]",0,"UInt64","30000","",0,"Production"
"25.7.3.13","s3_connect_timeout_ms","1000",0,"Connection timeout for host from s3 disks.",\N,\N,"[]",0,"UInt64","1000","",0,"Production"
"25.7.3.13","enable_s3_requests_logging","0",0,"Enable very explicit logging of S3 requests. Makes sense for debug only.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3queue_default_zookeeper_path","/clickhouse/s3queue/",0,"Default zookeeper path prefix for S3Queue engine",\N,\N,"[]",0,"String","/clickhouse/s3queue/","",0,"Production"
"25.7.3.13","s3queue_migrate_old_metadata_to_buckets","0",0,"Migrate old metadata structure of S3Queue table to a new one",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","s3queue_enable_logging_to_s3queue_log","0",0,"Enable writing to system.s3queue_log. The value can be overwritten per table with table settings",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hdfs_replication","0",0,"The actual number of replications can be specified when the hdfs file is created.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","hdfs_truncate_on_insert","0",0,"Enables or disables truncation before an insert in hdfs engine tables. If disabled, an exception will be thrown on an attempt to insert if a file in HDFS already exists.

Possible values:
- 0 — `INSERT` query appends new data to the end of the file.
- 1 — `INSERT` query replaces existing content of the file with the new data.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hdfs_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in HDFS engine tables. If enabled, on each insert a new HDFS file will be created with the name, similar to this pattern:

initial: `data.Parquet.gz` -> `data.1.Parquet.gz` -> `data.2.Parquet.gz`, etc.

Possible values:
- 0 — `INSERT` query appends new data to the end of the file.
- 1 — `INSERT` query creates a new file.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hdfs_skip_empty_files","0",0,"Enables or disables skipping empty files in [HDFS](../../engines/table-engines/integrations/hdfs.md) engine tables.

Possible values:
- 0 — `SELECT` throws an exception if empty file is not compatible with requested format.
- 1 — `SELECT` returns empty result for empty file.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","enable_hdfs_pread","1",0,"Enable or disables pread for HDFS files. By default, `hdfsPread` is used. If disabled, `hdfsRead` and `hdfsSeek` will be used to read hdfs files.",\N,\N,"[]",0,"Bool","1","",0,"Production"
"25.7.3.13","azure_skip_empty_files","0",0,"Enables or disables skipping empty files in S3 engine.

Possible values:
- 0 — `SELECT` throws an exception if empty file is not compatible with requested format.
- 1 — `SELECT` returns empty result for empty file.",\N,\N,"[]",0,"Bool","0","",0,"Production"
"25.7.3.13","hsts_max_age","0",0,"Expired time for HSTS. 0 means disable HSTS.",\N,\N,"[]",0,"UInt64","0","",0,"Production"
