"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","parameters","returned_value","examples","introduced_in","categories"
"25.12.3.21","JSONDynamicPaths",0,0,"","","System","
Returns the list of dynamic paths that are stored as separate subcolumns in JSON column.
        ","JSONDynamicPaths(json)","- `json` — JSON column. [`JSON`](/sql-reference/data-types/newjson)
","","Returns an array of dynamic paths in the JSON column. [`Array(String)`](/sql-reference/data-types/array)","**Usage example**

```sql title=Query
CREATE TABLE test (json JSON(max_dynamic_paths=1)) ENGINE = Memory;
INSERT INTO test FORMAT JSONEachRow {""json"" : {""a"" : 42}}, {""json"" : {""b"" : ""Hello""}}, {""json"" : {""a"" : [1, 2, 3], ""c"" : ""2020-01-01""}}
SELECT json, JSONDynamicPaths(json) FROM test;
```

```response title=Response
┌─json─────────────────────────────────┬─JSONDynamicPaths(json)─┐
│ {""a"":""42""}                           │ ['a']                  │
│ {""b"":""Hello""}                        │ []                     │
│ {""a"":[""1"",""2"",""3""],""c"":""2020-01-01""} │ ['a']                  │
└──────────────────────────────────────┴────────────────────────┘
```

","24.8","JSON"
"25.12.3.21","JSONAllPathsWithTypes",0,0,"","","System","
Returns the list of all paths and their data types stored in each row in JSON column.
        ","JSONAllPathsWithTypes(json)","- `json` — JSON column. [`JSON`](/sql-reference/data-types/newjson)
","","Returns a map of all paths and their data types in the JSON column. [`Map(String, String)`](/sql-reference/data-types/map)","**Usage example**

```sql title=Query
CREATE TABLE test (json JSON(max_dynamic_paths=1)) ENGINE = Memory;
INSERT INTO test FORMAT JSONEachRow {""json"" : {""a"" : 42}}, {""json"" : {""b"" : ""Hello""}}, {""json"" : {""a"" : [1, 2, 3], ""c"" : ""2020-01-01""}}
SELECT json, JSONAllPathsWithTypes(json) FROM test;
```

```response title=Response
┌─json─────────────────────────────────┬─JSONAllPathsWithTypes(json)───────────────┐
│ {""a"":""42""}                           │ {'a':'Int64'}                             │
│ {""b"":""Hello""}                        │ {'b':'String'}                            │
│ {""a"":[""1"",""2"",""3""],""c"":""2020-01-01""} │ {'a':'Array(Nullable(Int64))','c':'Date'} │
└──────────────────────────────────────┴───────────────────────────────────────────┘
```

","24.8","JSON"
"25.12.3.21","JSONAllPaths",0,0,"","","System","
Returns the list of all paths stored in each row in JSON column.
        ","JSONAllPaths(json)","- `json` — JSON column. [`JSON`](/sql-reference/data-types/newjson)
","","Returns an array of all paths in the JSON column. [`Array(String)`](/sql-reference/data-types/array)","**Usage example**

```sql title=Query
CREATE TABLE test (json JSON(max_dynamic_paths=1)) ENGINE = Memory;
INSERT INTO test FORMAT JSONEachRow {""json"" : {""a"" : 42}}, {""json"" : {""b"" : ""Hello""}}, {""json"" : {""a"" : [1, 2, 3], ""c"" : ""2020-01-01""}}
SELECT json, JSONAllPaths(json) FROM test;
```

```response title=Response
┌─json─────────────────────────────────┬─JSONAllPaths(json)─┐
│ {""a"":""42""}                           │ ['a']              │
│ {""b"":""Hello""}                        │ ['b']              │
│ {""a"":[""1"",""2"",""3""],""c"":""2020-01-01""} │ ['a','c']          │
└──────────────────────────────────────┴────────────────────┘
```

","24.8","JSON"
"25.12.3.21","isDistinctFrom",0,0,"","","System","
        Performs a null-safe ""not equals"" comparison between two values.
        Returns `true` if the values are distinct (not equal), including when one value is NULL and the other is not.
        Returns `false` if the values are equal, or if both are NULL.
    ","isDistinctFrom(x, y)","- `x` — First value to compare. Can be any ClickHouse data type. [`Any`](/sql-reference/data-types)
- `y` — Second value to compare. Can be any ClickHouse data type. [`Any`](/sql-reference/data-types)
","","Returns `true` if the two values are different, treating NULLs as comparable:
  - Returns `true` if x != y.
  - Returns `true` if exactly one of x or y is NULL.
  - Returns `false` if x = y, or both x and y are NULL. [`Bool`](/sql-reference/data-types/boolean)","**Basic usage with numbers and NULLs**

```sql title=Query
SELECT
    isDistinctFrom(1, 2) AS result_1,
    isDistinctFrom(1, 1) AS result_2,
    isDistinctFrom(NULL, 1) AS result_3,
    isDistinctFrom(NULL, NULL) AS result_4
```

```response title=Response
┌─result_1─┬─result_2─┬─result_3─┬─result_4─┐
│        1 │        0 │        1 │        0 │
└──────────┴──────────┴──────────┴──────────┘
```

","25.11","Comparison"
"25.12.3.21","addDays",0,0,"","","System","
Adds a specified number of days to a date, a date with time or a string-encoded date or date with time.
    ","addDays(datetime, num)","- `datetime` — Date or date with time to add specified number of days to. [`Date`](/sql-reference/data-types/date) or [`Date32`](/sql-reference/data-types/date32) or [`DateTime`](/sql-reference/data-types/datetime) or [`DateTime64`](/sql-reference/data-types/datetime64) or [`String`](/sql-reference/data-types/string)
- `num` — Number of days to add. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float)
","","Returns `datetime` plus `num` days. [`Date`](/sql-reference/data-types/date) or [`Date32`](/sql-reference/data-types/date32) or [`DateTime`](/sql-reference/data-types/datetime) or [`DateTime64`](/sql-reference/data-types/datetime64)","**Add days to different date types**

```sql title=Query
WITH
    toDate('2024-01-01') AS date,
    toDateTime('2024-01-01 00:00:00') AS date_time,
    '2024-01-01 00:00:00' AS date_time_string
SELECT
    addDays(date, 5) AS add_days_with_date,
    addDays(date_time, 5) AS add_days_with_date_time,
    addDays(date_time_string, 5) AS add_days_with_date_time_string
```

```response title=Response
┌─add_days_with_date─┬─add_days_with_date_time─┬─add_days_with_date_time_string─┐
│         2024-01-06 │     2024-01-06 00:00:00 │        2024-01-06 00:00:00.000 │
└────────────────────┴─────────────────────────┴────────────────────────────────┘
```

**Using alternative INTERVAL syntax**

```sql title=Query
SELECT dateAdd('1998-06-16'::Date, INTERVAL 10 day)
```

```response title=Response
┌─plus(CAST('1⋯valDay(10))─┐
│               1998-06-26 │
└──────────────────────────┘
```

","1.1","Dates and Times"
"25.12.3.21","perimeterSpherical",0,0,"","","System","
    Returns the perimeter of the object.
        ","perimeterSpherical(object)","- `object` — geometry object [`Variant`](/sql-reference/data-types/variant)
","","Returns the perimeter of the object. [`Float64`](/sql-reference/data-types/float)","","25.10","Geo"
"25.12.3.21","perimeterCartesian",0,0,"","","System","
    Returns the perimeter of the object.
        ","perimeterCartesian(object)","- `object` — geometry object [`Variant`](/sql-reference/data-types/variant)
","","Returns the perimeter of the object. [`Float64`](/sql-reference/data-types/float)","","25.10","Geo"
"25.12.3.21","roundDown",0,0,"","","System","
Rounds a number down to an element in the specified array.
If the value is less than the lower bound, the lower bound is returned.
","roundDown(num, arr)","- `num` — A number to round down. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Decimal*`](/sql-reference/data-types/decimal) or [`Float*`](/sql-reference/data-types/float)
- `arr` — Array of elements to round `num` down to. [`Array((U)Int*)`](/sql-reference/data-types/array) or [`Array(Float*)`](/sql-reference/data-types/array)
","","Returns a number rounded down to an element in `arr`. If the value is less than the lowest bound, the lowest bound is returned. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float)","**Usage example**

```sql title=Query
SELECT *, roundDown(*, [3, 4, 5]) FROM system.numbers WHERE number IN (0, 1, 2, 3, 4, 5)
```

```response title=Response
┌─number─┬─roundDown(number, [3, 4, 5])─┐
│      0 │                            3 │
│      1 │                            3 │
│      2 │                            3 │
│      3 │                            3 │
│      4 │                            4 │
│      5 │                            5 │
└────────┴──────────────────────────────┘
```

","20.1","Rounding"
"25.12.3.21","UUIDStringToNum",0,0,"","","System","
Accepts a string containing 36 characters in the format `xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx`, and returns a [FixedString(16)](../data-types/fixedstring.md) as its binary representation, with its format optionally specified by `variant` (`Big-endian` by default).
    ","UUIDStringToNum(string[, variant = 1])","- `string` — A string or fixed-string of 36 characters) [`String`](/sql-reference/data-types/string) or [`FixedString(36)`](/sql-reference/data-types/fixedstring)
- `variant` — Variant as specified by [RFC4122](https://datatracker.ietf.org/doc/html/rfc4122#section-4.1.1). 1 = `Big-endian` (default), 2 = `Microsoft`. [`(U)Int*`](/sql-reference/data-types/int-uint)
","","Returns the binary representation of `string`. [`FixedString(16)`](/sql-reference/data-types/fixedstring)","**Usage example**

```sql title=Query
SELECT
    '612f3c40-5d3b-217e-707b-6a546a3d7b29' AS uuid,
    UUIDStringToNum(uuid) AS bytes
```

```response title=Response
┌─uuid─────────────────────────────────┬─bytes────────────┐
│ 612f3c40-5d3b-217e-707b-6a546a3d7b29 │ a/<@];!~p{jTj={) │
└──────────────────────────────────────┴──────────────────┘
```

**Microsoft variant**

```sql title=Query
SELECT
    '612f3c40-5d3b-217e-707b-6a546a3d7b29' AS uuid,
    UUIDStringToNum(uuid, 2) AS bytes
```

```response title=Response
┌─uuid─────────────────────────────────┬─bytes────────────┐
│ 612f3c40-5d3b-217e-707b-6a546a3d7b29 │ @</a;]~!p{jTj={) │
└──────────────────────────────────────┴──────────────────┘
```

","1.1","UUID"
"25.12.3.21","toIntervalHour",0,0,"","","System","
Returns an interval of `n` hours of data type [`IntervalHour`](../data-types/special-data-types/interval.md).
    ","toIntervalHour(n)","- `n` — Number of hours. Integer numbers or string representations thereof, and float numbers. [`Int*`](/sql-reference/data-types/int-uint) or [`UInt*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float) or [`String`](/sql-reference/data-types/string)
","","Returns an interval of `n` hours. [`Interval`](/sql-reference/data-types/int-uint)","**Usage example**

```sql title=Query
WITH
    toDate('2025-06-15') AS date,
    toIntervalHour(12) AS interval_to_hours
SELECT date + interval_to_hours AS result
```

```response title=Response
┌──────────────result─┐
│ 2025-06-15 12:00:00 │
└─────────────────────┘
```

","1.1","Type Conversion"
"25.12.3.21","toIntervalMinute",0,0,"","","System","
Returns an interval of `n` minutes of data type [`IntervalMinute`](../data-types/special-data-types/interval.md).
    ","toIntervalMinute(n)","- `n` — Number of minutes. Integer numbers or string representations thereof, and float numbers. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float) or [`String`](/sql-reference/data-types/string)
","","Returns an interval of `n` minutes. [`Interval`](/sql-reference/data-types/int-uint)","**Usage example**

```sql title=Query
WITH
    toDate('2025-06-15') AS date,
    toIntervalMinute(12) AS interval_to_minutes
SELECT date + interval_to_minutes AS result
```

```response title=Response
┌──────────────result─┐
│ 2025-06-15 00:12:00 │
└─────────────────────┘
```

","1.1","Type Conversion"
"25.12.3.21","toIntervalMillisecond",0,0,"","","System","
Returns an interval of `n` milliseconds of data type [IntervalMillisecond](../../sql-reference/data-types/special-data-types/interval.md).
    ","toIntervalMillisecond(n)","- `n` — Number of milliseconds. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float) or [`String`](/sql-reference/data-types/string)
","","Returns an interval of `n` milliseconds. [`Interval`](/sql-reference/data-types/int-uint)","**Usage example**

```sql title=Query
WITH
    toDateTime('2025-06-15') AS date,
    toIntervalMillisecond(30) AS interval_to_milliseconds
SELECT date + interval_to_milliseconds AS result
```

```response title=Response
┌──────────────────result─┐
│ 2025-06-15 00:00:00.030 │
└─────────────────────────┘
```

","22.6","Type Conversion"
"25.12.3.21","parseDateTime64BestEffortUSOrZero",0,0,"","","System","
Same as [`parseDateTime64BestEffort`](#parseDateTime64BestEffort), except that this function prefers US date format (`MM/DD/YYYY` etc.) in case of ambiguity and returns zero date or zero date time when it encounters a date format that cannot be processed.
    ","parseDateTime64BestEffortUSOrZero(time_string [, precision [, time_zone]])","- `time_string` — String containing a date or date with time to convert. [`String`](/sql-reference/data-types/string)
- `precision` — Optional. Required precision. `3` for milliseconds, `6` for microseconds. Default: `3`. [`UInt8`](/sql-reference/data-types/int-uint)
- `time_zone` — Optional. Timezone. The function parses `time_string` according to the timezone. [`String`](/sql-reference/data-types/string)
","","Returns `time_string` converted to [`DateTime64`](../../sql-reference/data-types/datetime64.md) using US format preference, or zero date/datetime (`1970-01-01 00:00:00.000`) if the input cannot be parsed. [`DateTime64`](/sql-reference/data-types/datetime64)","**Usage example**

```sql title=Query
SELECT parseDateTime64BestEffortUSOrZero('02/10/2025 12:30:45.123') AS valid_us,
       parseDateTime64BestEffortUSOrZero('invalid') AS invalid
```

```response title=Response
┌─valid_us────────────────┬─invalid─────────────────┐
│ 2025-02-10 12:30:45.123 │ 1970-01-01 00:00:00.000 │
└─────────────────────────┴─────────────────────────┘
```

","22.8","Type Conversion"
"25.12.3.21","parseDateTime64BestEffortUS",0,0,"","","System","
Same as [`parseDateTime64BestEffort`](#parseDateTime64BestEffort), except that this function prefers US date format (`MM/DD/YYYY` etc.) in case of ambiguity.
    ","parseDateTime64BestEffortUS(time_string [, precision [, time_zone]])","- `time_string` — String containing a date or date with time to convert. [`String`](/sql-reference/data-types/string)
- `precision` — Optional. Required precision. `3` for milliseconds, `6` for microseconds. Default: `3`. [`UInt8`](/sql-reference/data-types/int-uint)
- `time_zone` — Optional. Timezone. The function parses `time_string` according to the timezone. [`String`](/sql-reference/data-types/string)
","","Returns `time_string` converted to [`DateTime64`](../../sql-reference/data-types/datetime64.md) using US date format preference for ambiguous cases. [`DateTime64`](/sql-reference/data-types/datetime64)","**Usage example**

```sql title=Query
SELECT parseDateTime64BestEffortUS('02/10/2025 12:30:45.123') AS us_format,
       parseDateTime64BestEffortUS('15/08/2025 10:15:30.456') AS fallback_to_standard
```

```response title=Response
┌─us_format───────────────┬─fallback_to_standard────┐
│ 2025-02-10 12:30:45.123 │ 2025-08-15 10:15:30.456 │
└─────────────────────────┴─────────────────────────┘
```

","22.8","Type Conversion"
