"ch_version","name","value","changed","description","min","max","readonly","type","default","alias_for","is_obsolete"
"24.3.6.31","azure_max_upload_part_size","5368709120",0,"The maximum size of part to upload during multipart upload to Azure blob storage.",\N,\N,0,"UInt64","5368709120","",0
"24.3.6.31","s3_upload_part_size_multiply_factor","2",0,"Multiply s3_min_upload_part_size by this factor each time s3_multiply_parts_count_threshold parts were uploaded from a single write to S3.",\N,\N,0,"UInt64","2","",0
"24.3.6.31","s3_upload_part_size_multiply_parts_count_threshold","500",0,"Each time this number of parts was uploaded to S3, s3_min_upload_part_size is multiplied by s3_upload_part_size_multiply_factor.",\N,\N,0,"UInt64","500","",0
"24.3.6.31","azure_upload_part_size_multiply_factor","2",0,"Multiply azure_min_upload_part_size by this factor each time azure_multiply_parts_count_threshold parts were uploaded from a single write to Azure blob storage.",\N,\N,0,"UInt64","2","",0
"24.3.6.31","azure_upload_part_size_multiply_parts_count_threshold","500",0,"Each time this number of parts was uploaded to Azure blob storage, azure_min_upload_part_size is multiplied by azure_upload_part_size_multiply_factor.",\N,\N,0,"UInt64","500","",0
"24.3.6.31","s3_max_inflight_parts_for_one_file","20",0,"The maximum number of a concurrent loaded parts in multipart upload request. 0 means unlimited.",\N,\N,0,"UInt64","20","",0
"24.3.6.31","azure_max_inflight_parts_for_one_file","20",0,"The maximum number of a concurrent loaded parts in multipart upload request. 0 means unlimited.",\N,\N,0,"UInt64","20","",0
"24.3.6.31","s3_max_single_part_upload_size","33554432",0,"The maximum size of object to upload using singlepart upload to S3.",\N,\N,0,"UInt64","33554432","",0
"24.3.6.31","azure_max_single_part_upload_size","104857600",0,"The maximum size of object to upload using singlepart upload to Azure blob storage.",\N,\N,0,"UInt64","104857600","",0
"24.3.6.31","azure_max_single_part_copy_size","268435456",0,"The maximum size of object to copy using single part copy to Azure blob storage.",\N,\N,0,"UInt64","268435456","",0
"24.3.6.31","s3_max_single_read_retries","4",0,"The maximum number of retries during single S3 read.",\N,\N,0,"UInt64","4","",0
"24.3.6.31","azure_max_single_read_retries","4",0,"The maximum number of retries during single Azure blob storage read.",\N,\N,0,"UInt64","4","",0
"24.3.6.31","azure_max_unexpected_write_error_retries","4",0,"The maximum number of retries in case of unexpected errors during Azure blob storage write",\N,\N,0,"UInt64","4","",0
"24.3.6.31","s3_max_unexpected_write_error_retries","4",0,"The maximum number of retries in case of unexpected errors during S3 write.",\N,\N,0,"UInt64","4","",0
"24.3.6.31","s3_max_redirects","10",0,"Max number of S3 redirects hops allowed.",\N,\N,0,"UInt64","10","",0
"24.3.6.31","s3_max_connections","1024",0,"The maximum number of connections per server.",\N,\N,0,"UInt64","1024","",0
"24.3.6.31","s3_max_get_rps","0",0,"Limit on S3 GET request per second rate before throttling. Zero means unlimited.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","s3_max_get_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_get_rps`",\N,\N,0,"UInt64","0","",0
"24.3.6.31","s3_max_put_rps","0",0,"Limit on S3 PUT request per second rate before throttling. Zero means unlimited.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","s3_max_put_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_put_rps`",\N,\N,0,"UInt64","0","",0
"24.3.6.31","s3_list_object_keys_size","1000",0,"Maximum number of files that could be returned in batch by ListObject request",\N,\N,0,"UInt64","1000","",0
"24.3.6.31","s3_use_adaptive_timeouts","1",0,"When adaptive timeouts are enabled first two attempts are made with low receive and send timeout",\N,\N,0,"Bool","1","",0
"24.3.6.31","azure_list_object_keys_size","1000",0,"Maximum number of files that could be returned in batch by ListObject request",\N,\N,0,"UInt64","1000","",0
"24.3.6.31","s3_truncate_on_insert","0",0,"Enables or disables truncate before insert in s3 engine tables.",\N,\N,0,"Bool","0","",0
"24.3.6.31","azure_truncate_on_insert","0",0,"Enables or disables truncate before insert in azure engine tables.",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in s3 engine tables",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_skip_empty_files","0",0,"Allow to skip empty files in s3 table engine",\N,\N,0,"Bool","0","",0
"24.3.6.31","azure_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in azure engine tables",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_check_objects_after_upload","0",0,"Check each uploaded object to s3 with head request to be sure that upload was successful",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_allow_parallel_part_upload","1",0,"Use multiple threads for s3 multipart upload. It may lead to slightly higher memory usage",\N,\N,0,"Bool","1","",0
"24.3.6.31","s3_throw_on_zero_files_match","0",0,"Throw an error, when ListObjects request cannot match any files",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_disable_checksum","0",0,"Do not calculate a checksum when sending a file to S3. This speeds up writes by avoiding excessive processing passes on a file. It is mostly safe as the data of MergeTree tables is checksummed by ClickHouse anyway, and when S3 is accessed with HTTPS, the TLS layer already provides integrity while transferring through the network. While additional checksums on S3 give defense in depth.",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3_retry_attempts","100",0,"Setting for Aws::Client::RetryStrategy, Aws::Client does retries itself, 0 means no retries",\N,\N,0,"UInt64","100","",0
"24.3.6.31","s3_request_timeout_ms","30000",0,"Idleness timeout for sending and receiving data to/from S3. Fail if a single TCP read or write call blocks for this long.",\N,\N,0,"UInt64","30000","",0
"24.3.6.31","s3_connect_timeout_ms","1000",0,"Connection timeout for host from s3 disks.",\N,\N,0,"UInt64","1000","",0
"24.3.6.31","enable_s3_requests_logging","0",0,"Enable very explicit logging of S3 requests. Makes sense for debug only.",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3queue_default_zookeeper_path","/clickhouse/s3queue/",0,"Default zookeeper path prefix for S3Queue engine",\N,\N,0,"String","/clickhouse/s3queue/","",0
"24.3.6.31","s3queue_enable_logging_to_s3queue_log","0",0,"Enable writing to system.s3queue_log. The value can be overwritten per table with table settings",\N,\N,0,"Bool","0","",0
"24.3.6.31","s3queue_allow_experimental_sharded_mode","0",0,"Enable experimental sharded mode of S3Queue table engine. It is experimental because it will be rewritten",\N,\N,0,"Bool","0","",0
"24.3.6.31","hdfs_replication","0",0,"The actual number of replications can be specified when the hdfs file is created.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","hdfs_truncate_on_insert","0",0,"Enables or disables truncate before insert in s3 engine tables",\N,\N,0,"Bool","0","",0
"24.3.6.31","hdfs_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in hdfs engine tables",\N,\N,0,"Bool","0","",0
"24.3.6.31","hdfs_skip_empty_files","0",0,"Allow to skip empty files in hdfs table engine",\N,\N,0,"Bool","0","",0
"24.3.6.31","hsts_max_age","0",0,"Expired time for hsts. 0 means disable HSTS.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","extremes","0",0,"Calculate minimums and maximums of the result columns. They can be output in JSON-formats.",\N,\N,0,"Bool","0","",0
"24.3.6.31","use_uncompressed_cache","0",0,"Whether to use the cache of uncompressed blocks.",\N,\N,0,"Bool","0","",0
"24.3.6.31","replace_running_query","0",0,"Whether the running request should be canceled with the same id as the new one.",\N,\N,0,"Bool","0","",0
"24.3.6.31","max_remote_read_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for read.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_remote_write_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for write.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_local_read_bandwidth","0",0,"The maximum speed of local reads in bytes per second.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_local_write_bandwidth","0",0,"The maximum speed of local writes in bytes per second.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","stream_like_engine_allow_direct_select","0",0,"Allow direct SELECT query for Kafka, RabbitMQ, FileLog, Redis Streams, and NATS engines. In case there are attached materialized views, SELECT query is not allowed even if this setting is enabled.",\N,\N,0,"Bool","0","",0
"24.3.6.31","stream_like_engine_insert_queue","",0,"When stream like engine reads from multiple queues, user will need to select one queue to insert into when writing. Used by Redis Streams and NATS.",\N,\N,0,"String","","",0
"24.3.6.31","distributed_insert_skip_read_only_replicas","0",0,"If true, INSERT into Distributed will skip read-only replicas.",\N,\N,0,"Bool","0","",0
"24.3.6.31","distributed_foreground_insert","0",0,"If setting is enabled, insert query into distributed waits until data are sent to all nodes in a cluster. 

Enables or disables synchronous data insertion into a `Distributed` table.

By default, when inserting data into a Distributed table, the ClickHouse server sends data to cluster nodes in the background. When `distributed_foreground_insert` = 1, the data is processed synchronously, and the `INSERT` operation succeeds only after all the data is saved on all shards (at least one replica for each shard if `internal_replication` is true).",\N,\N,0,"Bool","0","",0
"24.3.6.31","insert_distributed_sync","0",0,"If setting is enabled, insert query into distributed waits until data are sent to all nodes in a cluster. 

Enables or disables synchronous data insertion into a `Distributed` table.

By default, when inserting data into a Distributed table, the ClickHouse server sends data to cluster nodes in the background. When `distributed_foreground_insert` = 1, the data is processed synchronously, and the `INSERT` operation succeeds only after all the data is saved on all shards (at least one replica for each shard if `internal_replication` is true).",\N,\N,0,"Bool","0","distributed_foreground_insert",0
"24.3.6.31","distributed_background_insert_timeout","0",0,"Timeout for insert query into distributed. Setting is used only with insert_distributed_sync enabled. Zero value means no timeout.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","insert_distributed_timeout","0",0,"Timeout for insert query into distributed. Setting is used only with insert_distributed_sync enabled. Zero value means no timeout.",\N,\N,0,"UInt64","0","distributed_background_insert_timeout",0
"24.3.6.31","distributed_background_insert_sleep_time_ms","100",0,"Sleep time for background INSERTs into Distributed, in case of any errors delay grows exponentially.",\N,\N,0,"Milliseconds","100","",0
"24.3.6.31","distributed_directory_monitor_sleep_time_ms","100",0,"Sleep time for background INSERTs into Distributed, in case of any errors delay grows exponentially.",\N,\N,0,"Milliseconds","100","distributed_background_insert_sleep_time_ms",0
"24.3.6.31","distributed_background_insert_max_sleep_time_ms","30000",0,"Maximum sleep time for background INSERTs into Distributed, it limits exponential growth too.",\N,\N,0,"Milliseconds","30000","",0
"24.3.6.31","distributed_directory_monitor_max_sleep_time_ms","30000",0,"Maximum sleep time for background INSERTs into Distributed, it limits exponential growth too.",\N,\N,0,"Milliseconds","30000","distributed_background_insert_max_sleep_time_ms",0
"24.3.6.31","distributed_background_insert_batch","0",0,"Should background INSERTs into Distributed be batched into bigger blocks.",\N,\N,0,"Bool","0","",0
"24.3.6.31","distributed_directory_monitor_batch_inserts","0",0,"Should background INSERTs into Distributed be batched into bigger blocks.",\N,\N,0,"Bool","0","distributed_background_insert_batch",0
"24.3.6.31","distributed_background_insert_split_batch_on_failure","0",0,"Should batches of the background INSERT into Distributed be split into smaller batches in case of failures.",\N,\N,0,"Bool","0","",0
"24.3.6.31","distributed_directory_monitor_split_batch_on_failure","0",0,"Should batches of the background INSERT into Distributed be split into smaller batches in case of failures.",\N,\N,0,"Bool","0","distributed_background_insert_split_batch_on_failure",0
"24.3.6.31","optimize_move_to_prewhere","1",0,"Allows disabling WHERE to PREWHERE optimization in SELECT queries from MergeTree.",\N,\N,0,"Bool","1","",0
"24.3.6.31","optimize_move_to_prewhere_if_final","0",0,"If query has `FINAL`, the optimization `move_to_prewhere` is not always correct and it is enabled only if both settings `optimize_move_to_prewhere` and `optimize_move_to_prewhere_if_final` are turned on",\N,\N,0,"Bool","0","",0
"24.3.6.31","move_all_conditions_to_prewhere","1",0,"Move all viable conditions from WHERE to PREWHERE",\N,\N,0,"Bool","1","",0
"24.3.6.31","enable_multiple_prewhere_read_steps","1",0,"Move more conditions from WHERE to PREWHERE and do reads from disk and filtering in multiple steps if there are multiple conditions combined with AND",\N,\N,0,"Bool","1","",0
"24.3.6.31","move_primary_key_columns_to_end_of_prewhere","1",0,"Move PREWHERE conditions containing primary key columns to the end of AND chain. It is likely that these conditions are taken into account during primary key analysis and thus will not contribute a lot to PREWHERE filtering.",\N,\N,0,"Bool","1","",0
"24.3.6.31","allow_statistic_optimize","0",0,"Allows using statistic to optimize queries",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_experimental_statistic","0",0,"Allows using statistic",\N,\N,0,"Bool","0","",0
"24.3.6.31","alter_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone.",\N,\N,0,"UInt64","1","",0
"24.3.6.31","replication_alter_partitions_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone.",\N,\N,0,"UInt64","1","alter_sync",0
"24.3.6.31","replication_wait_for_inactive_replica_timeout","120",0,"Wait for inactive replica to execute ALTER/OPTIMIZE. Time in seconds, 0 - do not wait, negative - wait for unlimited time.",\N,\N,0,"Int64","120","",0
"24.3.6.31","alter_move_to_space_execute_async","0",0,"Execute ALTER TABLE MOVE ... TO [DISK|VOLUME] asynchronously",\N,\N,0,"Bool","0","",0
"24.3.6.31","load_balancing","random",0,"Which replicas (among healthy replicas) to preferably send a query to (on the first attempt) for distributed processing.",\N,\N,0,"LoadBalancing","random","",0
"24.3.6.31","load_balancing_first_offset","0",0,"Which replica to preferably send a query when FIRST_OR_RANDOM load balancing strategy is used.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","totals_mode","after_having_exclusive",0,"How to calculate TOTALS when HAVING is present, as well as when max_rows_to_group_by and group_by_overflow_mode = ‘any’ are present.",\N,\N,0,"TotalsMode","after_having_exclusive","",0
"24.3.6.31","totals_auto_threshold","0.5",0,"The threshold for totals_mode = 'auto'.",\N,\N,0,"Float","0.5","",0
"24.3.6.31","allow_suspicious_low_cardinality_types","0",0,"In CREATE TABLE statement allows specifying LowCardinality modifier for types of small fixed size (8 or less). Enabling this may increase merge times and memory consumption.",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_suspicious_fixed_string_types","0",0,"In CREATE TABLE statement allows creating columns of type FixedString(n) with n > 256. FixedString with length >= 256 is suspicious and most likely indicates misuse",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_suspicious_indices","0",0,"Reject primary/secondary indexes and sorting keys with identical expressions",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_suspicious_ttl_expressions","0",0,"Reject TTL expressions that don't depend on any of table's columns. It indicates a user error most of the time.",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_suspicious_variant_types","0",0,"In CREATE TABLE statement allows specifying Variant type with similar variant types (for example, with different numeric or date types). Enabling this setting may introduce some ambiguity when working with values with similar types.",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_suspicious_primary_key","0",0,"Forbid suspicious PRIMARY KEY/ORDER BY for MergeTree (i.e. SimpleAggregateFunction)",\N,\N,0,"Bool","0","",0
"24.3.6.31","compile_expressions","0",0,"Compile some scalar functions and operators to native code.",\N,\N,0,"Bool","0","",0
"24.3.6.31","min_count_to_compile_expression","3",0,"The number of identical expressions before they are JIT-compiled",\N,\N,0,"UInt64","3","",0
"24.3.6.31","compile_aggregate_expressions","1",0,"Compile aggregate functions to native code.",\N,\N,0,"Bool","1","",0
"24.3.6.31","min_count_to_compile_aggregate_expression","3",0,"The number of identical aggregate expressions before they are JIT-compiled",\N,\N,0,"UInt64","3","",0
"24.3.6.31","compile_sort_description","1",0,"Compile sort description to native code.",\N,\N,0,"Bool","1","",0
"24.3.6.31","min_count_to_compile_sort_description","3",0,"The number of identical sort descriptions before they are JIT-compiled",\N,\N,0,"UInt64","3","",0
"24.3.6.31","group_by_two_level_threshold","100000",0,"From what number of keys, a two-level aggregation starts. 0 - the threshold is not set.",\N,\N,0,"UInt64","100000","",0
"24.3.6.31","group_by_two_level_threshold_bytes","50000000",0,"From what size of the aggregation state in bytes, a two-level aggregation begins to be used. 0 - the threshold is not set. Two-level aggregation is used when at least one of the thresholds is triggered.",\N,\N,0,"UInt64","50000000","",0
"24.3.6.31","distributed_aggregation_memory_efficient","1",0,"Is the memory-saving mode of distributed aggregation enabled.",\N,\N,0,"Bool","1","",0
"24.3.6.31","aggregation_memory_efficient_merge_threads","0",0,"Number of threads to use for merge intermediate aggregation results in memory efficient mode. When bigger, then more memory is consumed. 0 means - same as 'max_threads'.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","enable_memory_bound_merging_of_aggregation_results","1",0,"Enable memory bound merging strategy for aggregation.",\N,\N,0,"Bool","1","",0
"24.3.6.31","enable_positional_arguments","1",0,"Enable positional arguments in ORDER BY, GROUP BY and LIMIT BY",\N,\N,0,"Bool","1","",0
"24.3.6.31","enable_extended_results_for_datetime_functions","0",0,"Enable date functions like toLastDayOfMonth return Date32 results (instead of Date results) for Date32/DateTime64 arguments.",\N,\N,0,"Bool","0","",0
"24.3.6.31","allow_nonconst_timezone_arguments","0",0,"Allow non-const timezone arguments in certain time-related functions like toTimeZone(), fromUnixTimestamp*(), snowflakeToDateTime*()",\N,\N,0,"Bool","0","",0
"24.3.6.31","function_locate_has_mysql_compatible_argument_order","1",0,"Function locate() has arguments (needle, haystack[, start_pos]) like in MySQL instead of (haystack, needle[, start_pos]) like function position()",\N,\N,0,"Bool","1","",0
"24.3.6.31","group_by_use_nulls","0",0,"Treat columns mentioned in ROLLUP, CUBE or GROUPING SETS as Nullable",\N,\N,0,"Bool","0","",0
"24.3.6.31","max_parallel_replicas","1",0,"The maximum number of replicas of each shard used when the query is executed. For consistency (to get different parts of the same partition), this option only works for the specified sampling key. The lag of the replicas is not controlled.",\N,\N,0,"UInt64","1","",0
"24.3.6.31","parallel_replicas_count","0",0,"This is internal setting that should not be used directly and represents an implementation detail of the 'parallel replicas' mode. This setting will be automatically set up by the initiator server for distributed queries to the number of parallel replicas participating in query processing.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","parallel_replica_offset","0",0,"This is internal setting that should not be used directly and represents an implementation detail of the 'parallel replicas' mode. This setting will be automatically set up by the initiator server for distributed queries to the index of the replica participating in query processing among parallel replicas.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","parallel_replicas_custom_key","",0,"Custom key assigning work to replicas when parallel replicas are used.",\N,\N,0,"String","","",0
"24.3.6.31","parallel_replicas_custom_key_filter_type","default",0,"Type of filter to use with custom key for parallel replicas. default - use modulo operation on the custom key, range - use range filter on custom key using all possible values for the value type of custom key.",\N,\N,0,"ParallelReplicasCustomKeyFilterType","default","",0
"24.3.6.31","cluster_for_parallel_replicas","",0,"Cluster for a shard in which current server is located",\N,\N,0,"String","","",0
"24.3.6.31","allow_experimental_parallel_reading_from_replicas","0",0,"Use all the replicas from a shard for SELECT query execution. Reading is parallelized and coordinated dynamically. 0 - disabled, 1 - enabled, silently disable them in case of failure, 2 - enabled, throw an exception in case of failure",\N,\N,0,"UInt64","0","",0
"24.3.6.31","parallel_replicas_allow_in_with_subquery","1",0,"If true, subquery for IN will be executed on every follower replica.",\N,\N,0,"Bool","1","",0
"24.3.6.31","parallel_replicas_single_task_marks_count_multiplier","2",0,"A multiplier which will be added during calculation for minimal number of marks to retrieve from coordinator. This will be applied only for remote replicas.",\N,\N,0,"Float","2","",0
"24.3.6.31","parallel_replicas_for_non_replicated_merge_tree","0",0,"If true, ClickHouse will use parallel replicas algorithm also for non-replicated MergeTree tables",\N,\N,0,"Bool","0","",0
"24.3.6.31","parallel_replicas_min_number_of_rows_per_replica","0",0,"Limit the number of replicas used in a query to (estimated rows to read / min_number_of_rows_per_replica). The max is still limited by 'max_parallel_replicas'",\N,\N,0,"UInt64","0","",0
