"ch_version","name","value","default","changed","description","min","max","disallowed_values","readonly","type","is_obsolete","tier"
"25.6.3.116","merge_max_block_size","8192","8192",0,"
    The number of rows that are read from the merged parts into memory.

    Possible values:
    - Any positive integer.

    Merge reads rows from parts in blocks of `merge_max_block_size` rows, then
    merges and writes the result into a new part. The read block is placed in RAM,
    so `merge_max_block_size` affects the size of the RAM required for the merge.
    Thus, merges can consume a large amount of RAM for tables with very wide rows
    (if the average row size is 100kb, then when merging 10 parts,
    (100kb * 10 * 8192) = ~ 8GB of RAM). By decreasing `merge_max_block_size`,
    you can reduce the amount of RAM required for a merge but slow down a merge.
    ",\N,\N,"[]",0,"NonZeroUInt64",0,"Production"
"25.6.3.116","merge_max_block_size_bytes","10485760","10485760",0,"
    How many bytes in blocks should be formed for merge operations. By default
    has the same value as `index_granularity_bytes`.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_bytes_to_merge_at_max_space_in_pool","161061273600","161061273600",0,"
    The maximum total parts size (in bytes) to be merged into one part, if there
    are enough resources available. Corresponds roughly to the maximum possible
    part size created by an automatic background merge. (0 means merges will be disabled)

    Possible values:

    - Any non-negative integer.

    The merge scheduler periodically analyzes the sizes and number of parts in
    partitions, and if there are enough free resources in the pool, it starts
    background merges. Merges occur until the total size of the source parts is
    larger than `max_bytes_to_merge_at_max_space_in_pool`.

    Merges initiated by [OPTIMIZE FINAL](/sql-reference/statements/optimize)
    ignore `max_bytes_to_merge_at_max_space_in_pool` (only the free disk space
    is taken into account).
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_bytes_to_merge_at_min_space_in_pool","1048576","1048576",0,"
    The maximum total part size (in bytes) to be merged into one part, with the
    minimum available resources in the background pool.

    Possible values:
    - Any positive integer.

    `max_bytes_to_merge_at_min_space_in_pool` defines the maximum total size of
    parts which can be merged despite the lack of available disk space (in pool).
    This is necessary to reduce the number of small parts and the chance of
    `Too many parts` errors.
    Merges book disk space by doubling the total merged parts sizes.
    Thus, with a small amount of free disk space, a situation may occur in which
    there is free space, but this space is already booked by ongoing large merges,
    so other merges are unable to start, and the number of small parts grows
    with every insert.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_replicated_merges_in_queue","1000","1000",0,"
    How many tasks of merging and mutating parts are allowed simultaneously in
    ReplicatedMergeTree queue.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_replicated_mutations_in_queue","8","8",0,"
    How many tasks of mutating parts are allowed simultaneously in
    ReplicatedMergeTree queue.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_replicated_merges_with_ttl_in_queue","1","1",0,"
    How many tasks of merging parts with TTL are allowed simultaneously in
    ReplicatedMergeTree queue.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8","8",0,"
    When there is less than the specified number of free entries in pool
    (or replicated queue), start to lower maximum size of merge to process
    (or to put in queue).
    This is to allow small merges to process - not filling the pool with long
    running merges.

    Possible values:
    - Any positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","number_of_free_entries_in_pool_to_execute_mutation","20","20",0,"
    When there is less than specified number of free entries in pool, do not
    execute part mutations. This is to leave free threads for regular merges and
    to avoid ""Too many parts"" errors.

    Possible values:
    - Any positive integer.

    **Usage**

    The value of the `number_of_free_entries_in_pool_to_execute_mutation` setting
    should be less than the value of the [background_pool_size](/operations/server-configuration-parameters/settings.md/#background_pool_size)
    * [background_merges_mutations_concurrency_ratio](/operations/server-configuration-parameters/settings.md/#background_merges_mutations_concurrency_ratio).
    Otherwise, ClickHouse will throw an exception.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_number_of_mutations_for_replica","0","0",0,"
    Limit the number of part mutations per replica to the specified amount.
    Zero means no limit on the number of mutations per replica (the execution can
    still be constrained by other settings).
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_number_of_merges_with_ttl_in_pool","2","2",0,"When there is
    more than specified number of merges with TTL entries in pool, do not assign
    new merge with TTL. This is to leave free threads for regular merges and
    avoid \""Too many parts\""
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","old_parts_lifetime","480","480",0,"
    The time (in seconds) of storing inactive parts to protect against data loss
    during spontaneous server reboots.

    Possible values:
    - Any positive integer.

    After merging several parts into a new part, ClickHouse marks the original
    parts as inactive and deletes them only after `old_parts_lifetime` seconds.
    Inactive parts are removed if they are not used by current queries, i.e. if
    the `refcount` of the part is 1.

    `fsync` is not called for new parts, so for some time new parts exist only
    in the server's RAM (OS cache). If the server is rebooted spontaneously, new
    parts can be lost or damaged. To protect data inactive parts are not deleted
    immediately.

    During startup ClickHouse checks the integrity of the parts. If the merged
    part is damaged ClickHouse returns the inactive parts to the active list,
    and later merges them again. Then the damaged part is renamed (the `broken_`
    prefix is added) and moved to the `detached` folder. If the merged part is
    not damaged, then the original inactive parts are renamed (the `ignored_`
    prefix is added) and moved to the `detached` folder.

    The default `dirty_expire_centisecs` value (a Linux kernel setting) is 30
    seconds (the maximum time that written data is stored only in RAM), but under
    heavy loads on the disk system data can be written much later. Experimentally,
    a value of 480 seconds was chosen for `old_parts_lifetime`, during which a
    new part is guaranteed to be written to disk.
    ",\N,\N,"[]",0,"Seconds",0,"Production"
"25.6.3.116","temporary_directories_lifetime","86400","86400",0,"
    How many seconds to keep tmp_-directories. You should not lower this value
    because merges and mutations may not be able to work with low value of this
    setting.
    ",\N,\N,"[]",0,"Seconds",0,"Production"
"25.6.3.116","lock_acquire_timeout_for_background_operations","120","120",0,"
    For background operations like merges, mutations etc. How many seconds before
    failing to acquire table locks.
    ",\N,\N,"[]",0,"Seconds",0,"Production"
"25.6.3.116","min_rows_to_fsync_after_merge","0","0",0,"
    Minimal number of rows to do fsync for part after merge (0 - disabled)
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_compressed_bytes_to_fsync_after_merge","0","0",0,"
    Minimal number of compressed bytes to do fsync for part after merge (0 - disabled)
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_compressed_bytes_to_fsync_after_fetch","0","0",0,"
    Minimal number of compressed bytes to do fsync for part after fetch (0 - disabled)
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","fsync_after_insert","0","0",0,"
    Do fsync for every inserted part. Significantly decreases performance of
    inserts, not recommended to use with wide parts.
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","fsync_part_directory","0","0",0,"
    Do fsync for part directory after all part operations (writes, renames, etc.).
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","non_replicated_deduplication_window","0","0",0,"
    The number of the most recently inserted blocks in the non-replicated
    [MergeTree](../../engines/table-engines/mergetree-family/mergetree.md) table
    for which hash sums are stored to check for duplicates.

    Possible values:
    - Any positive integer.
    - `0` (disable deduplication).

    A deduplication mechanism is used, similar to replicated tables (see
    [replicated_deduplication_window](#replicated_deduplication_window) setting).
    The hash sums of the created parts are written to a local file on a disk.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_parts_to_merge_at_once","100","100",0,"
    Max amount of parts which can be merged at once (0 - disabled). Doesn't affect
    OPTIMIZE FINAL query.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","materialize_skip_indexes_on_merge","1","1",0,"
    When enabled, merges build and store skip indices for new parts.
    Otherwise they can be created/stored by explicit MATERIALIZE INDEX
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","merge_selecting_sleep_ms","5000","5000",0,"
    Minimum time to wait before trying to select parts to merge again after no
    parts were selected. A lower setting will trigger selecting tasks in
    background_schedule_pool frequently which result in large amount of requests
    to zookeeper in large-scale clusters
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_merge_selecting_sleep_ms","60000","60000",0,"
    Maximum time to wait before trying to select parts to merge again after no
    parts were selected. A lower setting will trigger selecting tasks in
    background_schedule_pool frequently which result in large amount of
    requests to zookeeper in large-scale clusters
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","merge_selecting_sleep_slowdown_factor","1.2","1.2",0,"
    The sleep time for merge selecting task is multiplied by this factor when
    there's nothing to merge and divided when a merge was assigned
    ",\N,\N,"[]",0,"Float",0,"Production"
"25.6.3.116","merge_tree_clear_old_temporary_directories_interval_seconds","60","60",0,"
    Sets the interval in seconds for ClickHouse to execute the cleanup of old
    temporary directories.

    Possible values:
    - Any positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","merge_tree_clear_old_parts_interval_seconds","1","1",0,"
    Sets the interval in seconds for ClickHouse to execute the cleanup of old
    parts, WALs, and mutations.

    Possible values:
    - Any positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_age_to_force_merge_seconds","0","0",0,"
    Merge parts if every part in the range is older than the value of
    `min_age_to_force_merge_seconds`.

    By default, ignores setting `max_bytes_to_merge_at_max_space_in_pool`
    (see `enable_max_bytes_limit_for_min_age_to_force_merge`).

    Possible values:
    - Positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_age_to_force_merge_on_partition_only","0","0",0,"
    Whether `min_age_to_force_merge_seconds` should be applied only on the entire
    partition and not on subset.

    By default, ignores setting `max_bytes_to_merge_at_max_space_in_pool` (see
    `enable_max_bytes_limit_for_min_age_to_force_merge`).

    Possible values:
    - true, false
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","enable_max_bytes_limit_for_min_age_to_force_merge","0","0",0,"
    If settings `min_age_to_force_merge_seconds` and
    `min_age_to_force_merge_on_partition_only` should respect setting
    `max_bytes_to_merge_at_max_space_in_pool`.

    Possible values:
    - `true`
    - `false`
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","number_of_free_entries_in_pool_to_execute_optimize_entire_partition","25","25",0,"
    When there is less than specified number of free entries in pool, do not
    execute optimizing entire partition in the background (this task generated
    when set `min_age_to_force_merge_seconds` and enable
    `min_age_to_force_merge_on_partition_only`). This is to leave free threads
    for regular merges and avoid ""Too many parts"".

    Possible values:
    - Positive integer.

    The value of the `number_of_free_entries_in_pool_to_execute_optimize_entire_partition`
    setting should be less than the value of the
    [background_pool_size](/operations/server-configuration-parameters/settings.md/#background_pool_size)
    * [background_merges_mutations_concurrency_ratio](/operations/server-configuration-parameters/settings.md/#background_merges_mutations_concurrency_ratio).
    Otherwise, ClickHouse throws an exception.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","remove_rolled_back_parts_immediately","1","1",0,"
    Setting for an incomplete experimental feature.
    ",\N,\N,"[]",0,"Bool",0,"Experimental"
"25.6.3.116","replicated_max_mutations_in_one_entry","10000","10000",0,"
    Max number of mutation commands that can be merged together and executed in
    one MUTATE_PART entry (0 means unlimited)
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","number_of_mutations_to_delay","500","500",0,"If table has at least
    that many unfinished mutations, artificially slow down mutations of table.
    Disabled if set to 0
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","number_of_mutations_to_throw","1000","1000",0,"
    If table has at least that many unfinished mutations, throw 'Too many mutations'
    exception. Disabled if set to 0
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_delay_to_mutate_ms","10","10",0,"
    Min delay of mutating MergeTree table in milliseconds, if there are a lot of
    unfinished mutations
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_delay_to_mutate_ms","1000","1000",0,"
    Max delay of mutating MergeTree table in milliseconds, if there are a lot of
    unfinished mutations
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","exclude_deleted_rows_for_part_size_in_merge","0","0",0,"
    If enabled, estimated actual size of data parts (i.e., excluding those rows
    that have been deleted through `DELETE FROM`) will be used when selecting
    parts to merge. Note that this behavior is only triggered for data parts
    affected by `DELETE FROM` executed after this setting is enabled.

    Possible values:
    - `true`
    - `false`

    **See Also**
    - [load_existing_rows_count_for_old_parts](#load_existing_rows_count_for_old_parts)
      setting
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","merge_workload","","",0,"
    Used to regulate how resources are utilized and shared between merges and
    other workloads. Specified value is used as `workload` setting value for
    background merges of this table. If not specified (empty string), then
    server setting `merge_workload` is used instead.

    **See Also**
    - [Workload Scheduling](/operations/workload-scheduling.md)
    ",\N,\N,"[]",0,"String",0,"Production"
"25.6.3.116","mutation_workload","","",0,"
    Used to regulate how resources are utilized and shared between mutations and
    other workloads. Specified value is used as `workload` setting value for
    background mutations of this table. If not specified (empty string), then
    server setting `mutation_workload` is used instead.

    **See Also**
    - [Workload Scheduling](/operations/workload-scheduling.md)
    ",\N,\N,"[]",0,"String",0,"Production"
"25.6.3.116","background_task_preferred_step_execution_time_ms","50","50",0,"
    Target time to execution of one step of merge or mutation. Can be exceeded if
    one step takes longer time
    ",\N,\N,"[]",0,"Milliseconds",0,"Production"
"25.6.3.116","enforce_index_structure_match_on_partition_manipulation","0","0",0,"
    If this setting is enabled for destination table of a partition manipulation
    query (`ATTACH/MOVE/REPLACE PARTITION`), the indices and projections must be
    identical between the source and destination tables. Otherwise, the destination
    table can have a superset of the source table's indices and projections.
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","merge_selector_algorithm","Simple","Simple",0,"
    The algorithm to select parts for merges assignment
    ",\N,\N,"[]",0,"MergeSelectorAlgorithm",0,"Experimental"
"25.6.3.116","merge_selector_enable_heuristic_to_remove_small_parts_at_right","1","1",0,"
    Enable heuristic for selecting parts for merge which removes parts from right
    side of range, if their size is less than specified ratio (0.01) of sum_size.
    Works for Simple and StochasticSimple merge selectors
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","merge_selector_base","5","5",0,"Affects write amplification of
    assigned merges (expert level setting, don't change if you don't understand
    what it is doing). Works for Simple and StochasticSimple merge selectors
    ",\N,\N,"[]",0,"Float",0,"Production"
"25.6.3.116","min_parts_to_merge_at_once","0","0",0,"
    Minimal amount of data parts which merge selector can pick to merge at once
    (expert level setting, don't change if you don't understand what it is doing).
    0 - disabled. Works for Simple and StochasticSimple merge selectors.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","apply_patches_on_merge","1","1",0,"
    If true patch parts are applied on merges
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","parts_to_delay_insert","1000","1000",0,"
    If the number of active parts in a single partition exceeds the
    `parts_to_delay_insert` value, an `INSERT` is artificially slowed down.

    Possible values:
    - Any positive integer.

    ClickHouse artificially executes `INSERT` longer (adds 'sleep') so that the
    background merge process can merge parts faster than they are added.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","inactive_parts_to_delay_insert","0","0",0,"
    If the number of inactive parts in a single partition in the table exceeds
    the `inactive_parts_to_delay_insert` value, an `INSERT` is artificially
    slowed down.

    :::tip
    It is useful when a server fails to clean up parts quickly enough.
    :::

    Possible values:
    - Any positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","parts_to_throw_insert","3000","3000",0,"
    If the number of active parts in a single partition exceeds the
    `parts_to_throw_insert` value, `INSERT` is interrupted with the `Too many
    parts (N). Merges are processing significantly slower than inserts`
    exception.

    Possible values:
    - Any positive integer.

    To achieve maximum performance of `SELECT` queries, it is necessary to
    minimize the number of parts processed, see [Merge Tree](/development/architecture#merge-tree).

    Prior to version 23.6 this setting was set to 300. You can set a higher
    different value, it will reduce the probability of the `Too many parts`
    error, but at the same time `SELECT` performance might degrade. Also in case
    of a merge issue (for example, due to insufficient disk space) you will
    notice it later than you would with the original 300.

    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","inactive_parts_to_throw_insert","0","0",0,"
    If the number of inactive parts in a single partition more than the
    `inactive_parts_to_throw_insert` value, `INSERT` is interrupted with the
    following error:

    > ""Too many inactive parts (N). Parts cleaning are processing significantly
      slower than inserts"" exception.""

    Possible values:
    - Any positive integer.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_avg_part_size_for_too_many_parts","1073741824","1073741824",0,"
    The 'too many parts' check according to 'parts_to_delay_insert' and
    'parts_to_throw_insert' will be active only if the average part size (in the
    relevant partition) is not larger than the specified threshold. If it is
    larger than the specified threshold, the INSERTs will be neither delayed or
    rejected. This allows to have hundreds of terabytes in a single table on a
    single server if the parts are successfully merged to larger parts. This
    does not affect the thresholds on inactive parts or total parts.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_delay_to_insert","1","1",0,"
    The value in seconds, which is used to calculate the `INSERT` delay, if the
    number of active parts in a single partition exceeds the
    [parts_to_delay_insert](#parts_to_delay_insert) value.

    Possible values:
    - Any positive integer.

    The delay (in milliseconds) for `INSERT` is calculated by the formula:

    ```code
    max_k = parts_to_throw_insert - parts_to_delay_insert
    k = 1 + parts_count_in_partition - parts_to_delay_insert
    delay_milliseconds = pow(max_delay_to_insert * 1000, k / max_k)
    ```
    For example, if a partition has 299 active parts and parts_to_throw_insert
    = 300, parts_to_delay_insert = 150, max_delay_to_insert = 1, `INSERT` is
    delayed for `pow( 1 * 1000, (1 + 299 - 150) / (300 - 150) ) = 1000`
    milliseconds.

    Starting from version 23.1 formula has been changed to:

    ```code
    allowed_parts_over_threshold = parts_to_throw_insert - parts_to_delay_insert
    parts_over_threshold = parts_count_in_partition - parts_to_delay_insert + 1
    delay_milliseconds = max(min_delay_to_insert_ms, (max_delay_to_insert * 1000)
    * parts_over_threshold / allowed_parts_over_threshold)
    ```

    For example, if a partition has 224 active parts and parts_to_throw_insert
    = 300, parts_to_delay_insert = 150, max_delay_to_insert = 1,
    min_delay_to_insert_ms = 10, `INSERT` is delayed for `max( 10, 1 * 1000 *
    (224 - 150 + 1) / (300 - 150) ) = 500` milliseconds.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_delay_to_insert_ms","10","10",0,"
    Min delay of inserting data into MergeTree table in milliseconds, if there
    are a lot of unmerged parts in single partition.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_parts_in_total","100000","100000",0,"
    If the total number of active parts in all partitions of a table exceeds the
    `max_parts_in_total` value `INSERT` is interrupted with the `Too many parts
    (N)` exception.

    Possible values:
    - Any positive integer.

    A large number of parts in a table reduces performance of ClickHouse queries
    and increases ClickHouse boot time. Most often this is a consequence of an
    incorrect design (mistakes when choosing a partitioning strategy - too small
    partitions).
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","async_insert","0","0",0,"
    If true, data from INSERT query is stored in queue and later flushed to
    table in background.
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","add_implicit_sign_column_constraint_for_collapsing_engine","0","0",0,"
    If true, adds an implicit constraint for the `sign` column of a CollapsingMergeTree
    or VersionedCollapsingMergeTree table to allow only valid values (`1` and `-1`).
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","sleep_before_commit_local_part_in_replicated_table_ms","0","0",0,"
    For testing. Do not change it.
    ",\N,\N,"[]",0,"Milliseconds",0,"Production"
