"ch_version","name","value","changed","description","type"
"20.8.19.4","max_files_to_remove_in_alter_columns","50",0,"Not apply ALTER, if number of files for deletion more than this.","UInt64"
"20.8.19.4","replicated_max_ratio_of_wrong_parts","0.5",0,"If ratio of wrong parts to total number of parts is less than this - allow to start.","Float"
"20.8.19.4","replicated_max_parallel_fetches","0",0,"Limit parallel fetches.","UInt64"
"20.8.19.4","replicated_max_parallel_fetches_for_table","0",0,"Limit parallel fetches for one table.","UInt64"
"20.8.19.4","replicated_max_parallel_fetches_for_host","15",0,"Limit parallel fetches from endpoint (actually pool size).","UInt64"
"20.8.19.4","replicated_max_parallel_sends","0",0,"Limit parallel sends.","UInt64"
"20.8.19.4","replicated_max_parallel_sends_for_table","0",0,"Limit parallel sends for one table.","UInt64"
"20.8.19.4","replicated_can_become_leader","1",0,"If true, Replicated tables replicas on this node will try to acquire leadership.","Bool"
"20.8.19.4","zookeeper_session_expiration_check_period","60",0,"ZooKeeper session expiration check period, in seconds.","Seconds"
"20.8.19.4","detach_old_local_parts_when_cloning_replica","1",0,"Do not remove old local parts when repairing lost replica.","Bool"
"20.8.19.4","min_relative_delay_to_measure","120",0,"Calculate relative replica delay only if absolute delay is not less that this value.","UInt64"
"20.8.19.4","cleanup_delay_period","30",0,"Period to clean old queue logs, blocks hashes and parts.","UInt64"
"20.8.19.4","cleanup_delay_period_random_add","10",0,"Add uniformly distributed value from 0 to x seconds to cleanup_delay_period to avoid thundering herd effect and subsequent DoS of ZooKeeper in case of very large number of tables.","UInt64"
"20.8.19.4","min_relative_delay_to_close","300",0,"Minimal delay from other replicas to close, stop serving requests and not return Ok during status check.","UInt64"
"20.8.19.4","min_absolute_delay_to_close","0",0,"Minimal absolute delay to close, stop serving requests and not return Ok during status check.","UInt64"
"20.8.19.4","enable_vertical_merge_algorithm","1",0,"Enable usage of Vertical merge algorithm.","UInt64"
"20.8.19.4","vertical_merge_algorithm_min_rows_to_activate","131072",0,"Minimal (approximate) sum of rows in merging parts to activate Vertical merge algorithm.","UInt64"
"20.8.19.4","vertical_merge_algorithm_min_columns_to_activate","11",0,"Minimal amount of non-PK columns to activate Vertical merge algorithm.","UInt64"
"20.8.19.4","compatibility_allow_sampling_expression_not_in_primary_key","0",0,"Allow to create a table with sampling expression not in primary key. This is needed only to temporarily allow to run the server with wrong tables for backward compatibility.","Bool"
"20.8.19.4","use_minimalistic_checksums_in_zookeeper","1",0,"Use small format (dozens bytes) for part checksums in ZooKeeper instead of ordinary ones (dozens KB). Before enabling check that all replicas support new format.","Bool"
"20.8.19.4","use_minimalistic_part_header_in_zookeeper","1",0,"Store part header (checksums and columns) in a compact format and a single part znode instead of separate znodes (<part>/columns and <part>/checksums). This can dramatically reduce snapshot size in ZooKeeper. Before enabling check that all replicas support new format.","Bool"
"20.8.19.4","finished_mutations_to_keep","100",0,"How many records about mutations that are done to keep. If zero, then keep all of them.","UInt64"
"20.8.19.4","min_merge_bytes_to_use_direct_io","10737418240",0,"Minimal amount of bytes to enable O_DIRECT in merge (0 - disabled).","UInt64"
"20.8.19.4","index_granularity_bytes","10485760",0,"Approximate amount of bytes in single granule (0 - disabled).","UInt64"
"20.8.19.4","min_index_granularity_bytes","1024",0,"Minimum amount of bytes in single granule.","UInt64"
"20.8.19.4","merge_with_ttl_timeout","86400",0,"Minimal time in seconds, when merge with TTL can be repeated.","Int64"
"20.8.19.4","ttl_only_drop_parts","0",0,"Only drop altogether the expired parts and not partially prune them.","Bool"
"20.8.19.4","write_final_mark","1",0,"Write final mark after end of column (0 - disabled, do nothing if index_granularity_bytes=0)","Bool"
"20.8.19.4","enable_mixed_granularity_parts","1",0,"Enable parts with adaptive and non adaptive granularity","Bool"
"20.8.19.4","max_part_loading_threads","'auto(4)'",0,"The number of threads to load data parts at startup.","MaxThreads"
"20.8.19.4","max_part_removal_threads","'auto(4)'",0,"The number of threads for concurrent removal of inactive data parts. One is usually enough, but in 'Google Compute Environment SSD Persistent Disks' file removal (unlink) operation is extraordinarily slow and you probably have to increase this number (recommended is up to 16).","MaxThreads"
"20.8.19.4","concurrent_part_removal_threshold","100",0,"Activate concurrent part removal (see 'max_part_removal_threads') only if the number of inactive data parts is at least this.","UInt64"
"20.8.19.4","storage_policy","default",0,"Name of storage disk policy","String"
"20.8.19.4","allow_nullable_key","0",0,"Allow Nullable types as primary keys.","Bool"
"20.8.19.4","min_relative_delay_to_yield_leadership","120",0,"Obsolete setting, does nothing.","UInt64"
"20.8.19.4","check_delay_period","60",0,"Obsolete setting, does nothing.","UInt64"
